Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
158,Northwestern,Big Ten,,8,15,67.6,81.5,-13.91,12.95,4.79,-5.76,-0.96,96.67,97.98,-1.31
159,Norfolk State,MEAC,,17,5,67.4,55.7,11.68,-10.61,-2.78,1.74,-1.04,90.27,92.01,-1.74
160,Arkansas-Pine Bluff,SWAC,,12,10,76.3,69.3,7.05,-2.15,5.71,-6.86,-1.15,90.36,92.56,-2.2
161,Purdue Fort Wayne,Horizon,,15,9,70.8,63.7,7.04,-3.54,-0.94,-0.24,-1.17,90.09,91.88,-1.79
162,Vermont,AEC,,16,8,59.1,53.5,5.63,-6.5,-7.15,5.82,-1.33,91.4,92.84,-1.44
163,Central Arkansas,A-Sun,,16,7,66.6,58.8,7.78,-5.25,-1.44,0.1,-1.34,91.31,92.99,-1.69
164,Holy Cross,Patriot,,14,7,62.2,52.8,9.38,-9.21,-7.36,5.96,-1.41,85.57,87.41,-1.84
165,Southern Illinois,MVC,,7,13,66.3,67.6,-1.35,-0.06,-1.21,-0.2,-1.41,87.28,89.37,-2.08
166,Loyola (IL),A-10,,12,11,64.6,64.2,0.35,-1.93,-3.4,1.82,-1.58,91.15,92.55,-1.41
167,Bowling Green State,MAC,,12,9,66.5,69.4,-2.9,1.21,0.52,-2.21,-1.69,94.06,96.92,-2.86
168,College of Charleston,CAA,,14,6,76.7,61.6,15.1,-9.64,3.49,-5.19,-1.7,89.61,92.48,-2.88
169,Florida International,CUSA,,16,6,71.0,63.5,7.59,-5.72,1.23,-2.95,-1.72,96.77,99.15,-2.38
170,Monmouth,CAA,,13,7,63.9,58.0,5.95,-6.0,-3.81,1.97,-1.84,87.77,90.52,-2.76
171,Appalachian State,Sun Belt,,12,11,71.1,70.7,0.48,-2.49,3.4,-5.41,-2.01,88.68,91.76,-3.08
172,Stephen F. Austin,WAC,,15,8,74.1,67.6,6.57,-2.33,2.97,-5.01,-2.04,90.76,93.2,-2.44
173,Saint Mary's (CA),WCC,,10,13,59.3,64.0,-4.7,3.55,-4.48,2.39,-2.09,91.66,95.18,-3.52
174,Southeastern Louisiana,Southland,,14,8,63.5,57.5,6.0,-2.81,-6.34,4.22,-2.12,82.78,85.99,-3.21
175,Air Force,MWC,,11,13,61.9,65.8,-3.96,2.82,-2.02,-0.16,-2.18,87.79,91.37,-3.58
176,Louisiana Tech,CUSA,,8,15,63.0,63.7,-0.7,2.95,-4.98,2.79,-2.19,89.08,91.81,-2.74
177,Brown,Ivy,,13,7,61.1,58.3,2.85,-2.35,-3.56,1.31,-2.25,86.0,89.65,-3.65
178,Wright State,Horizon,,14,11,71.5,70.8,0.68,-0.54,3.75,-6.21,-2.46,93.95,97.85,-3.9
