Seed,Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
0.625,Texas A&M-2023,1.516,0.4976,-0.4323,1.555,1.2916,1.9192,2.3446,0.9324,1.4122
0.625,Northwestern-2023,1.4679,1.3555,0.2739,1.3445,0.8221,2.6186,0.5034,0.7592,1.5693
0.8125,Virginia-2023,1.5233,1.6546,1.2856,1.4785,1.564,1.2784,1.5161,1.4716,1.0724
0.4375,Southern California-2023,1.3818,0.971,0.8943,1.2584,1.0079,0.8205,0.6876,1.232,0.8202
0.4375,Penn State-2023,1.4365,1.3555,0.4266,1.2775,0.6583,1.4065,0.56,1.4139,1.5693
0.375,Providence-2023,1.3337,0.971,-0.5182,1.201,0.8221,0.2878,1.5161,1.232,1.1229
0.4375,Boise State-2023,1.3957,1.067,0.7798,1.4593,1.2441,1.2199,1.871,1.1303,1.2106
0.375,NC State-2023,1.3059,1.7401,0.0449,1.3062,1.0643,1.0646,1.1018,1.2022,1.0724
0.375,Mississippi State-2023,1.2738,1.7993,-0.146,1.2679,0.7046,0.6375,1.019,1.2022,1.4122
0.625,Missouri-2023,1.2177,1.7993,0.2644,1.3349,1.2441,1.0646,1.3978,1.741,1.4122
0.375,Arizona State-2023,1.2323,1.3555,0.8084,1.1053,0.7681,1.6342,0.6876,0.7766,0.8202
0.375,Pittsburgh-2023,1.1681,0.5865,0.9897,1.0957,0.8844,1.686,0.6876,1.0176,1.0724
0.375,Nevada-2023,1.1301,1.067,1.0374,1.3828,1.0079,2.2043,0.6876,1.0364,1.2106
0.3125,Virginia Commonwealth-2023,1.0834,0.8229,1.2951,1.2297,1.6406,1.0646,1.4409,1.0863,0.5115
0.3125,Oral Roberts-2023,0.8909,0.2447,1.5051,1.3923,2.1647,-0.6442,2.3446,1.741,-0.6139
0.3125,College of Charleston-2023,0.869,1.7722,0.3598,1.2488,2.3392,-0.6442,1.6818,1.5715,-0.6431
0.3125,Drake-2023,0.9178,1.2785,-0.1842,1.2105,1.6406,0.6375,1.1018,1.3245,0.2369
0.25,Iona-2023,0.8515,0.5865,1.4574,1.1818,1.6406,-0.6442,1.5161,1.0863,-0.4196
0.25,Kent State-2023,0.8091,0.971,1.1615,1.1722,1.8151,-0.6442,1.6818,1.3593,-0.4738
0.25,Furman-2023,0.5575,0.4325,0.9229,0.8947,1.6406,0.6375,2.3446,0.9227,-0.6961
0.125,Princeton-2023,0.5334,0.5865,0.7893,0.6746,1.2251,1.4065,0.6876,0.8682,0.0383
0.1875,Grand Canyon-2023,0.4947,0.5865,1.1329,0.7416,0.9972,1.4065,0.6876,0.4046,0.1248
0.25,Louisiana-2023,0.5195,1.1846,0.3121,0.8852,1.6038,-0.6442,0.6876,1.5229,0.1577
0.1875,UC Santa Barbara-2023,0.4028,1.1846,-1.339,0.7799,1.6406,-0.6442,0.6876,0.9227,-0.3009
0.125,Colgate-2023,0.2927,-0.3429,0.0353,0.7703,1.4661,-0.6442,-0.9694,0.8545,-0.6668
0.1875,Montana State-2023,0.2978,-0.183,1.2379,0.7512,1.2916,-0.6442,0.3562,0.86,-0.8982
0.125,Vermont-2023,0.2627,-0.4787,1.6673,0.6938,1.0643,-0.6442,-0.3066,1.3424,-0.4446
0.1875,Kennesaw State-2023,0.103,0.0094,1.0279,0.6364,1.4661,-0.6442,0.6876,1.1683,-0.2741
0.0625,Northern Kentucky-2023,-0.0079,-0.6957,1.6769,0.2632,0.7681,-0.6442,-0.1409,0.3835,-0.8678
0.125,UNC Asheville-2023,-0.1414,0.2019,-0.1651,0.3971,1.6406,-0.6442,0.1352,1.0863,-0.7917
0.0625,Texas A&M-Corpus Christi-2023,-0.1874,-0.6957,0.3694,0.0622,1.0643,-0.6442,-0.9694,0.553,-1.6193
0.0625,Howard-2023,-0.4712,-0.5951,0.0735,-0.311,0.7681,-0.6442,-0.9694,0.3835,-1.2228
0.0625,Southeast Missouri State-2023,-0.6915,-0.9521,0.4171,-0.5789,0.1496,-0.6442,0.6876,-0.3972,-1.1504
0.0625,Fairleigh Dickinson-2023,-0.8724,-0.4787,-1.1958,-1.1435,0.244,1.0646,-0.9694,-0.2634,-1.4329
0.0625,Texas Southern-2023,-1.0168,-1.3366,1.4192,-1.0766,-0.6285,-0.6442,0.1352,-0.902,-2.1223
1.0,South Carolina-2023,3.167,1.9181,1.7068,1.7266,2.5556,4.2181,2.3823,1.4586,1.5483
