Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
North Dakota State,0.2732,-0.4997,1.2557,0.5822,0.6107,-0.4617,-0.7664,1.1113,-0.4356
Pittsburgh,0.2275,-0.1194,0.0914,0.2646,-1.0847,-0.4617,-0.1624,-0.0127,1.304
Northern Arizona,0.2513,0.3539,0.332,0.5725,1.0592,-0.4617,-0.0114,0.9652,-0.4306
Montana State,0.2548,-0.1194,0.842,0.4474,0.108,-0.4617,-0.0114,0.2504,-0.4306
UTSA,0.2429,0.207,-1.0248,0.4378,0.1277,4.6768,-0.263,0.0278,0.4492
Boise State,0.2165,0.5602,-1.1403,0.5341,0.6797,-0.4617,-0.7664,0.5669,0.2891
California Baptist,0.1579,1.5412,-1.554,0.4763,1.7442,-0.4617,-0.7664,0.8701,-0.6407
UC Irvine,0.2344,0.4188,-0.8131,0.4956,0.8867,-0.4617,-0.7664,0.6066,-0.7051
Duquesne,0.1808,-0.1466,0.1876,0.5052,0.6797,0.8229,0.2402,0.9186,0.363
Old Dominion,0.1937,1.1958,0.7457,0.5244,1.005,-0.4617,1.247,0.9186,0.3369
Hawaii,0.2036,-0.6175,0.6014,0.332,0.5368,-0.4617,2.2536,0.2281,-0.7051
UAB,0.1758,0.9134,-1.5733,0.3993,0.867,-0.4617,0.2402,0.6066,0.4492
Southern Mississippi,0.1822,0.4188,0.2646,0.3897,0.4136,-0.4617,-0.1624,0.473,0.3369
South Dakota,0.1783,0.6779,-0.4763,0.4859,0.7438,-0.4617,-0.7664,0.7327,-0.4356
Pacific,0.1743,0.3539,0.2261,0.2935,0.2164,-0.4617,-0.7664,0.654,-0.0688
San Diego State,0.1484,0.5602,-0.6014,0.3801,0.5614,-0.4617,-0.7664,0.4173,0.2891
Liberty,0.1291,-1.0157,1.708,0.3512,-0.2666,-0.4617,2.2536,-0.1505,-0.3717
Tulane,0.1042,0.5602,-0.0337,0.2069,-0.5721,-0.4617,0.2402,-0.7184,0.4492
New Mexico,0.1137,0.6779,-1.5925,0.2454,0.867,1.251,-0.7664,0.6066,0.2891
Norfolk State,0.1231,0.8629,-1.3327,0.5533,1.3598,-0.4617,-0.7664,0.8228,-1.1736
Illinois-Chicago,0.0873,0.5602,-1.4867,0.255,0.4136,-0.4617,-0.7664,0.5669,-0.1338
Lamar,0.1251,0.0302,0.6688,0.5148,1.3154,-0.4617,0.7436,1.1272,-1.2064
Oral Roberts,0.1072,0.2462,1.121,0.3705,0.6797,-0.4617,-0.7664,0.8592,-0.4356
San Francisco,0.0704,-0.9411,0.0048,0.1588,-0.375,-0.4617,-0.7664,-0.1952,-0.0688
Cal Poly,0.0535,-0.3583,0.3224,0.2742,0.2411,-0.4617,-0.7664,0.3121,-0.7051
Saint Louis,0.0669,-0.6175,1.1788,0.2165,-0.5376,-0.4617,-0.3349,-0.2925,0.363
Vermont,0.0938,0.1798,0.4282,0.4282,0.7438,-0.4617,0.7436,0.3314,-0.3278
Louisiana-Monroe,0.0381,0.4188,-0.7842,0.409,0.4875,-0.4617,-0.0114,0.654,0.3369
Purdue Fort Wayne,0.0177,0.2462,-0.8612,0.2839,0.5614,-0.4617,-0.7664,0.4173,-0.1683
College of Charleston,-0.0166,0.6779,-1.6599,0.3608,1.0986,-0.4617,-0.7664,0.9186,-0.2589
Western Kentucky,0.0093,0.3076,1.0056,0.1395,0.1967,-0.4617,-0.7664,0.2281,-0.3717
Arkansas State,-0.0051,0.4188,-0.4956,0.2358,0.0193,-0.4617,-0.0114,0.0278,0.3369
North Carolina A&T,0.0038,-0.1858,-0.3993,0.3031,0.7438,-0.4617,-0.7664,0.3674,-0.2589
Albany (NY),0.0247,1.3252,-1.6791,0.4186,1.7935,-0.4617,-0.7664,1.0345,-0.3278
Appalachian State,-0.0325,0.3539,0.5437,0.1973,0.108,-0.4617,0.2402,0.3121,0.3369
Florida International,-0.0359,0.4786,-1.2942,0.1203,1.005,-0.4617,-0.7664,0.6426,-0.3717
Central Arkansas,-0.0151,0.207,-0.8997,0.3416,0.867,-0.4617,-0.7664,0.6066,-0.6151
Loyola (IL),0.0053,0.207,-0.7939,0.1684,-0.2666,-0.4617,-0.7664,-0.0309,0.363
Southern Indiana,-0.0305,-0.4555,-0.5244,0.1876,1.2021,-0.4617,-0.7664,0.6426,-1.4637
Northwestern,-0.0613,-0.1466,0.0433,-0.2935,-1.0255,-0.4617,-0.263,-0.2138,1.3317
Saint Mary's (CA),-0.0842,-0.1194,0.3897,-0.1684,-0.4588,-0.4617,0.4416,-0.5291,-0.0688
Brown,-0.1045,0.6779,-0.178,0.1491,0.4579,-0.4617,0.2402,0.4173,0.2902
Monmouth,-0.0966,0.4188,-1.1691,0.178,0.7438,-0.4617,0.7436,0.102,-0.2589
