RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
276,Rhode Island,9-22,120,4-8,285,169,7-9,1-10,1-3,0-3,0-5,3-8,6-6
277,San Diego,9-20,154,5-7,281,256,6-9,3-8,0-3,0-6,2-2,1-5,6-7
278,Southern,13-17,342,2-9,230,98,7-2,5-12,1-3,0-4,0-1,0-4,13-8
279,Wagner,13-13,362,5-4,176,330,6-4,7-9,0-0,0-0,1-2,0-1,12-10
280,Northern Arizona,10-23,196,2-9,239,50,4-8,3-13,3-2,0-4,0-5,4-4,6-10
281,Canisius,9-20,188,1-7,294,56,6-7,3-12,0-1,0-3,0-2,2-7,7-8
282,UC San Diego,8-20,202,3-7,257,216,2-10,6-9,0-1,0-2,1-2,2-9,5-7
283,Loyola (IL),10-21,183,6-6,283,337,6-8,3-8,1-5,0-4,1-5,3-6,6-6
284,North Dakota,11-20,240,4-7,268,265,6-8,4-11,1-1,0-5,0-1,1-7,10-7
285,Jackson State,14-19,351,1-12,323,194,7-2,6-14,1-3,0-3,0-3,2-5,12-8
286,Texas Southern,12-21,286,2-9,226,33,5-6,3-13,4-2,0-4,1-2,2-4,9-11
287,Tennessee State,14-14,356,4-5,320,355,9-4,4-8,1-2,0-1,0-2,2-3,12-8
288,Oregon State,10-21,158,5-5,312,341,9-7,1-10,0-4,0-7,1-5,3-5,6-4
289,Illinois-Chicago,11-20,241,7-3,202,358,6-8,3-11,2-1,0-3,0-7,0-6,11-4
290,William & Mary,11-20,222,3-8,253,72,9-5,1-14,1-1,0-3,1-5,2-5,8-7
291,Coppin State,9-23,237,5-12,208,128,4-6,5-16,0-1,0-3,0-4,2-10,7-6
292,Georgetown,7-25,94,5-6,290,274,5-12,1-11,1-2,0-8,0-7,1-8,6-2
293,Portland State,10-19,280,4-7,198,155,4-7,5-9,1-3,0-3,0-3,1-5,9-8
294,High Point,12-17,311,6-4,148,218,8-5,2-11,2-1,0-0,1-3,1-6,10-8
295,Coastal Carolina,8-20,191,3-6,240,185,5-8,3-11,0-1,0-2,2-4,1-7,5-7
296,Northeastern,10-20,247,4-7,269,286,6-6,3-12,1-2,0-3,1-5,0-5,9-7
297,North Carolina A&T,10-19,292,2-8,289,136,5-5,4-10,1-4,1-2,0-4,1-5,8-8
298,Kansas City,10-20,260,3-8,298,222,5-7,3-11,2-2,0-3,1-3,3-4,6-10
299,Valparaiso,10-21,215,5-5,248,323,7-7,2-12,1-2,0-3,0-5,1-10,9-3
300,Omaha,8-23,181,3-8,190,49,4-7,1-15,3-1,0-6,0-4,1-5,7-8
301,South Dakota,10-19,259,3-7,301,251,6-6,2-11,2-2,0-5,0-1,3-6,7-7
302,Illinois State,11-21,234,5-6,287,319,8-7,3-9,0-5,0-2,0-4,4-8,7-7
303,Denver,13-17,349,7-4,243,363,7-5,4-11,2-1,0-3,0-1,0-4,13-9
304,Sacred Heart,15-17,361,6-8,292,350,8-6,7-11,0-0,0-1,0-2,1-2,14-12
305,Stony Brook,9-22,233,2-9,322,198,5-7,3-13,1-2,0-4,0-4,0-7,9-7
306,East Tennessee State,10-20,268,2-9,343,262,5-9,4-9,1-2,0-1,0-3,3-7,7-9
307,Chicago State,7-20,304,7-20,270,246,4-0,3-20,0-0,0-5,0-1,0-9,7-5
308,Texas A&M-Commerce,12-20,353,3-10,299,300,4-5,7-13,1-2,0-1,1-1,3-8,8-10
309,Loyola (MD),11-20,313,3-8,332,332,7-6,3-13,1-1,0-1,0-3,1-3,10-13
310,Monmouth,7-26,185,1-12,272,42,3-10,3-15,1-1,0-3,0-8,0-8,7-7
311,Prairie View,11-19,343,2-9,275,173,7-3,4-14,0-2,0-4,0-0,2-4,9-11
312,Bowling Green State,9-20,290,4-7,304,325,5-9,4-11,0-0,0-2,0-2,1-8,8-8
313,Louisville,4-28,79,2-9,331,156,4-13,0-11,0-4,0-9,0-5,2-9,2-5
314,Cal State Bakersfield,9-22,271,2-7,328,317,4-8,3-12,2-2,0-1,0-4,2-10,7-7
315,Miami (OH),9-20,255,3-7,303,217,6-9,3-9,0-2,0-3,0-5,2-5,7-7
316,Central Arkansas,8-22,227,4-8,297,268,5-8,2-13,1-1,0-4,0-3,3-7,5-8
317,Arkansas State,10-20,284,5-5,326,361,7-8,2-11,1-1,0-2,1-5,0-9,9-4
318,Charleston Southern,8-21,267,2-7,309,245,4-8,3-12,1-1,0-0,0-6,1-7,7-8
319,Bucknell,11-20,337,6-6,266,351,6-7,3-13,2-0,0-0,0-2,0-6,11-12
320,Saint Francis (PA),11-18,344,1-10,355,259,8-5,3-13,0-0,0-1,0-1,0-4,11-12
321,McNeese State,10-23,289,2-10,217,26,7-9,3-14,0-0,0-5,0-2,2-6,8-10
322,Idaho State,9-21,308,1-10,354,312,5-7,4-12,0-2,0-0,0-4,2-6,7-11
323,Georgia State,7-21,168,4-5,271,206,7-9,0-11,0-1,0-3,0-4,2-8,5-6
324,Alabama A&M,12-18,358,1-9,330,113,6-8,5-8,1-2,0-1,0-2,1-5,11-10
325,Austin Peay,6-22,195,3-7,231,130,4-8,1-13,1-1,0-4,0-1,1-11,5-6
326,Holy Cross,8-22,291,1-10,356,255,4-9,4-11,0-2,0-1,0-2,1-4,7-15
327,Eastern Michigan,7-23,230,2-10,334,242,5-7,2-13,0-3,0-4,0-4,3-5,4-10
328,St. Francis (NY),12-16,363,5-6,306,357,8-5,4-11,0-0,0-1,0-1,0-2,12-12
329,The Citadel,9-22,315,4-8,307,329,4-9,4-11,1-2,0-1,0-4,2-7,7-10
330,New Orleans,10-20,340,1-8,352,229,4-9,4-10,2-1,0-2,0-1,1-8,9-9
331,Tulsa,5-25,144,4-7,308,284,4-10,0-12,1-3,0-6,0-4,1-10,4-5
332,California,3-29,99,1-10,340,146,3-14,0-12,0-3,0-6,0-7,1-9,2-7
333,Central Michigan,8-21,318,3-8,321,326,4-8,3-12,1-1,0-3,1-2,0-7,7-9
334,Incarnate Word,9-19,348,3-7,282,264,4-7,3-12,2-0,0-1,0-1,1-7,8-10
335,Columbia,5-22,194,3-10,335,276,4-9,1-13,0-0,0-3,1-3,0-6,4-10
336,Hampton,7-24,238,2-10,333,184,6-6,1-13,0-5,0-2,0-7,1-6,6-9
337,NJIT,6-23,254,2-10,342,296,4-8,2-15,0-0,0-3,0-2,0-6,6-12
338,Little Rock,8-21,330,2-9,347,303,6-5,2-16,0-0,0-2,0-3,2-2,6-14
339,Lindenwood,8-21,328,2-8,324,294,6-4,2-14,0-3,0-1,0-4,0-5,8-11
340,Cal Poly,6-25,219,4-6,278,289,4-11,1-13,1-1,0-1,0-6,2-9,4-9
341,Central Connecticut State,10-22,354,3-12,337,311,6-7,4-14,0-1,0-0,0-2,0-5,10-15
342,Albany (NY),6-23,265,3-10,310,282,4-6,1-16,1-1,0-4,0-3,1-6,5-10
343,Evansville,5-27,200,4-7,264,253,3-10,1-14,1-3,0-2,0-6,0-11,5-8
344,Elon,6-24,281,0-11,362,327,3-9,3-12,0-3,0-3,0-3,0-7,6-11
345,Bethune-Cookman,10-20,359,2-9,353,331,6-5,3-13,1-2,0-1,0-2,0-5,10-12
346,South Carolina State,4-26,232,2-13,284,112,3-6,1-19,0-1,0-1,0-4,2-13,2-8
347,Delaware State,5-23,295,1-12,344,183,3-7,2-14,0-2,0-3,0-2,0-9,5-9
348,Western Michigan,5-23,282,1-9,345,283,4-7,1-15,0-1,0-4,0-3,1-6,4-10
349,Eastern Illinois,7-22,341,2-9,351,342,4-9,3-12,0-1,0-0,1-3,1-5,5-14
350,Idaho,8-22,357,4-7,341,362,4-10,4-11,0-1,0-0,0-2,2-5,6-15
351,Alabama State,7-23,350,1-11,314,134,4-5,2-18,1-0,0-5,0-1,0-5,7-12
352,VMI,4-25,245,2-8,318,211,3-8,1-14,0-3,0-0,0-4,1-10,3-11
353,Arkansas-Pine Bluff,6-21,345,0-9,319,54,4-5,2-16,0-0,0-4,0-2,0-3,6-12
354,Florida A&M,5-22,339,0-9,346,123,2-7,3-15,0-0,0-3,0-2,0-4,5-13
355,Houston Christian,7-22,346,0-10,360,266,5-8,2-13,0-1,0-2,0-1,1-6,6-13
356,Lamar,6-22,347,1-9,348,243,3-9,2-12,1-1,0-2,0-1,1-5,5-14
357,Cal State Northridge,5-25,303,1-8,363,353,5-8,0-14,0-3,0-1,0-4,2-8,3-12
358,Mississippi Valley State,5-27,331,1-13,317,95,4-6,1-19,0-2,0-4,0-2,0-6,5-15
359,Green Bay,3-29,298,1-10,358,299,2-10,1-17,0-2,0-1,0-3,1-13,2-12
360,Long Island University,1-26,302,0-10,338,91,0-10,1-14,0-2,0-2,0-1,0-4,1-19
361,IUPUI,3-27,324,1-8,361,354,2-9,0-15,1-3,0-2,0-1,0-10,3-14
362,Presbyterian,3-27,319,2-9,357,336,3-9,0-15,0-3,0-1,0-3,0-9,3-14
363,Non D1,2-23,327,2-23,359,290,2-10,0-11,0-2,0-0,0-3,0-5,2-15
