Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
338,Villanova,37,30,7,0.811,24.61,12.51,17.0,3.0,13,2,13,1,2620,2172,66.6,106.4,0.238,0.339,0.525,50.9,62.8,9.8,13.7,0.493,13.1,32.2,0.183
339,Virginia,30,15,15,0.5,16.82,11.35,4.0,14.0,11,5,4,9,2062,1898,73.4,93.7,0.266,0.298,0.482,53.7,59.1,11.8,10.9,0.447,18.3,36.4,0.19
340,Virginia Commonwealth,29,7,22,0.241,-5.05,0.71,4.0,12.0,4,9,1,11,1649,1816,66.0,85.4,0.24,0.289,0.447,51.5,43.8,10.6,7.2,0.414,19.7,34.3,0.168
341,Virginia Tech,36,31,5,0.861,29.12,14.45,14.0,4.0,16,1,8,3,2607,2079,68.5,105.7,0.294,0.394,0.553,54.9,56.3,7.7,8.9,0.518,17.2,31.9,0.224
342,Wagner,28,13,15,0.464,-16.25,-13.67,8.0,8.0,8,4,5,11,1768,1840,71.9,87.5,0.288,0.239,0.466,44.2,55.4,13.0,6.2,0.432,18.1,26.9,0.195
343,Wake Forest,34,17,17,0.5,12.55,12.76,5.0,13.0,12,5,3,9,2036,2043,67.0,89.0,0.276,0.399,0.478,48.9,58.9,9.7,9.0,0.449,19.3,28.9,0.182
344,Washington,34,19,15,0.559,15.69,13.75,7.0,11.0,16,5,2,8,2068,2002,66.7,90.2,0.214,0.287,0.469,55.5,57.9,11.6,10.8,0.439,20.1,38.8,0.155
345,Washington State,34,23,11,0.676,21.47,15.73,9.0,9.0,9,5,9,4,2279,2084,68.1,97.4,0.252,0.343,0.518,51.3,60.1,10.3,10.5,0.488,18.8,31.9,0.185
346,Weber State,31,6,25,0.194,-14.32,-4.02,2.0,16.0,4,10,1,14,1767,2086,71.2,79.7,0.379,0.27,0.452,48.8,50.4,9.5,7.4,0.394,22.0,25.2,0.28
347,West Virginia,31,19,12,0.613,15.31,10.79,10.0,8.0,13,2,3,7,2045,1905,72.2,90.7,0.262,0.376,0.476,46.8,46.8,13.2,5.7,0.442,16.2,26.5,0.186
348,Western Carolina,30,9,21,0.3,-22.71,-8.78,2.0,12.0,7,9,2,11,1636,1959,66.1,81.8,0.32,0.282,0.446,49.5,47.4,7.0,5.8,0.41,22.0,32.9,0.209
349,Western Illinois,30,10,20,0.333,-14.54,-6.79,5.0,13.0,6,9,4,10,2025,2195,76.4,88.4,0.371,0.428,0.473,45.2,56.0,11.7,7.3,0.416,17.4,24.8,0.28
350,Western Kentucky,33,19,14,0.576,2.9,2.11,14.0,6.0,10,4,7,9,2312,2286,72.6,96.5,0.31,0.47,0.497,46.9,53.0,16.2,5.9,0.464,17.6,32.2,0.213
351,Western Michigan,29,12,17,0.414,-7.12,1.23,7.0,11.0,8,5,4,12,1832,2005,71.7,88.1,0.276,0.458,0.481,45.9,55.0,13.4,6.6,0.453,19.4,26.0,0.182
352,Wichita State,33,18,15,0.545,4.74,2.29,6.0,10.0,11,4,4,10,2182,2101,71.3,92.1,0.323,0.222,0.485,54.0,53.3,10.4,8.0,0.44,19.1,34.9,0.24
353,William & Mary,31,18,13,0.581,-7.34,-6.95,12.0,6.0,10,5,7,8,2056,2068,69.8,93.5,0.247,0.373,0.49,45.2,58.9,10.8,6.7,0.451,16.8,27.0,0.194
354,Winthrop,30,8,22,0.267,-24.57,-15.19,6.0,12.0,6,7,2,13,1553,1794,66.3,78.1,0.289,0.265,0.449,47.4,45.4,13.7,7.0,0.414,24.7,30.6,0.192
355,Wisconsin,31,11,20,0.355,7.86,11.99,6.0,12.0,7,7,4,8,2124,2252,72.1,94.3,0.273,0.378,0.526,48.7,65.4,11.2,9.8,0.49,21.3,29.5,0.208
356,Wofford,32,22,10,0.688,-3.14,-5.83,10.0,4.0,11,2,9,7,2230,2081,69.7,100.0,0.248,0.414,0.503,46.8,45.0,11.1,6.6,0.472,13.0,27.0,0.181
357,Wright State,32,8,24,0.25,-14.75,-0.91,6.0,14.0,4,8,4,15,2116,2484,70.1,94.3,0.192,0.481,0.525,39.6,53.4,8.3,4.2,0.504,16.9,16.5,0.137
358,Wyoming,34,23,11,0.676,6.37,1.37,13.0,5.0,13,3,7,8,2229,1993,64.7,100.6,0.266,0.352,0.539,54.5,60.4,8.9,9.7,0.505,18.1,30.0,0.205
359,Xavier,30,7,23,0.233,-2.51,8.19,0.0,20.0,5,12,2,10,1657,1978,69.7,79.2,0.235,0.257,0.441,46.6,62.5,11.5,9.6,0.412,21.9,28.2,0.155
360,Yale,27,13,14,0.481,-4.25,0.86,7.0,7.0,6,6,6,7,1607,1745,69.3,85.1,0.267,0.327,0.45,51.0,53.7,12.7,7.5,0.418,21.1,35.4,0.177
361,Youngstown State,30,19,11,0.633,-1.54,-6.21,13.0,7.0,12,5,7,6,2016,1785,68.3,97.9,0.262,0.438,0.522,52.5,65.8,9.3,7.4,0.499,18.1,28.9,0.176
