Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
288,St. Bonaventure,32,6,26,0.188,-17.27,-1.83,3.0,13.0,4,10,2,13,1665,2159,1280,794,1958,0.406,214,652,0.328,357,498,0.717,452,1328,440,252,123,449,479
289,St. Francis (NY),30,11,19,0.367,-19.32,-12.39,9.0,7.0,8,4,3,15,1723,1858,1209,697,1756,0.397,206,608,0.339,258,388,0.665,344,1075,405,239,78,424,545
290,St. John's (NY),32,23,9,0.719,15.03,9.31,13.0,7.0,14,3,6,4,2089,1906,1280,737,1844,0.4,159,537,0.296,273,387,0.705,374,1053,367,222,102,419,517
291,St. Thomas,30,13,17,0.433,-7.05,-6.05,7.0,11.0,7,6,5,10,1900,1930,1215,699,1675,0.417,157,508,0.309,375,529,0.709,295,1020,382,256,99,456,467
292,Stanford,35,29,6,0.829,33.91,15.99,15.0,3.0,17,2,9,3,2664,2037,1415,710,2163,0.328,226,740,0.305,391,531,0.736,401,1141,344,205,79,401,589
293,Stephen F. Austin,34,27,7,0.794,11.03,-1.63,15.0,3.0,14,2,8,4,2560,2065,1370,739,1972,0.375,186,598,0.311,401,577,0.695,408,1115,413,265,78,623,665
294,Stetson,33,13,20,0.394,-9.39,-4.43,6.0,12.0,8,8,3,10,1961,2018,1320,729,1712,0.426,210,646,0.325,350,502,0.697,283,1124,400,248,104,602,603
295,Stonehill,29,9,20,0.31,-20.51,-14.26,5.0,11.0,5,8,4,11,1739,1903,1165,730,1687,0.433,145,456,0.318,298,427,0.698,291,1009,340,230,91,342,472
296,Stony Brook,31,18,13,0.581,-3.84,-5.94,11.0,7.0,11,3,4,9,2104,2039,1240,781,1840,0.424,194,591,0.328,283,401,0.706,348,1127,424,214,102,504,498
297,Syracuse,33,20,13,0.606,16.84,10.5,9.0,9.0,15,3,5,9,2449,2240,1320,870,2067,0.421,175,615,0.285,325,454,0.716,398,1250,503,225,87,576,556
298,Tarleton State,29,8,21,0.276,-10.0,-2.41,2.0,16.0,7,7,1,12,1825,1953,1186,702,1662,0.422,161,524,0.307,388,567,0.684,350,1149,377,221,97,536,558
299,TCU,31,8,23,0.258,5.22,13.45,1.0,17.0,7,11,0,11,1861,2116,1240,777,1822,0.426,202,608,0.332,360,500,0.72,351,1214,468,207,91,533,571
300,Temple,29,11,18,0.379,3.57,6.54,6.0,10.0,8,6,3,11,1831,1917,1165,671,1733,0.387,148,494,0.3,427,607,0.703,404,1188,404,205,110,458,447
