Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Fairleigh Dickinson,-1.2637,-0.7858,-1.4211,-1.3636,-0.2669,-0.6169,-0.8431,-0.645,-1.3837
Dartmouth,-1.3948,-1.3095,-0.2727,-1.4689,-1.7263,-0.6169,-0.8431,-1.7193,0.1964
Tennessee Tech,-1.3602,-1.2338,0.177,-1.4785,-1.1173,-0.6169,-0.8431,-1.481,-1.1185
Buffalo,-1.3982,-1.7192,0.8565,-1.555,-2.341,-0.6169,-0.8431,-2.0357,-0.514
Incarnate Word,-1.3554,-0.9314,-1.6411,-1.5072,-1.2609,-0.6169,-0.8431,-1.5374,-1.3825
North Carolina A&T,-1.4362,-1.426,0.5502,-1.488,-1.5424,-0.6169,-0.8431,-1.0331,-0.2954
Pacific,-1.5062,-0.7858,-1.1435,-1.6316,-1.801,-0.6169,-0.8431,-1.8074,0.1142
Loyola (MD),-1.4885,-1.7192,-1.0478,-1.5263,-1.755,-0.6169,-0.8431,-1.7345,-1.5321
Central Arkansas,-1.4417,-1.4713,-1.555,-1.5455,-1.2494,-0.6169,-0.8431,-1.5058,-0.9378
Alabama A&M,-1.4132,-1.7459,0.799,-1.4498,-1.2609,-0.6169,-0.8431,-1.1429,-1.9916
Arkansas-Pine Bluff,-1.4077,-1.6036,0.7512,-1.4019,-0.6002,-0.6169,-0.8431,-1.0331,-1.9916
Manhattan,-1.4913,-1.0258,1.0957,-1.4976,-1.8354,-0.6169,0.7031,-2.0357,-0.6217
Hampton,-1.534,-1.2338,-1.3541,-1.5837,-1.755,-0.6169,-0.8431,-2.1008,-0.2954
Maryland-Eastern Shore,-1.6407,-1.6498,-0.1962,-1.622,-1.0311,-0.6169,-0.8431,-1.636,-1.4641
New Orleans,-1.5266,-1.6036,0.244,-1.5646,-1.3298,-0.6169,-0.8431,-1.8074,-1.3825
Morgan State,-1.5999,-1.7459,0.5598,-1.5359,-0.9621,-0.6169,-0.8431,-1.2744,-1.4641
Florida A&M,-1.606,-1.6036,1.7081,-1.5933,-2.071,-0.6169,-0.8431,-1.7909,-1.9916
Detroit Mercy,-1.6923,-2.0658,0.7416,-1.6986,-2.8237,-0.6169,-0.8431,-2.5323,-0.7378
Saint Francis (PA),-1.7154,-0.9314,-0.7129,-1.5742,-1.2609,-0.6169,-0.8431,-1.5374,-1.3837
Southeast Missouri State,-1.6726,-1.6036,0.3014,-1.6124,-1.3298,-0.6169,-0.8431,-1.853,-1.1185
Holy Cross,-1.7595,-1.3723,-1.2297,-1.6411,-1.3298,-0.6169,-0.8431,-1.3399,-1.5321
Long Island University,-1.6577,-1.7192,-0.9426,-1.6029,-1.6516,-0.6169,-0.8431,-1.5887,-1.3837
Lindenwood,-1.7575,-0.8178,-1.4402,-1.689,-1.3298,-0.6169,-0.8431,-1.7345,-1.1185
Houston Christian,-1.6278,-2.0658,0.3589,-1.6603,-1.5941,-0.6169,-0.8431,-1.636,-1.3825
VMI,-1.6774,-2.0658,-1.2392,-1.6507,-2.1802,-0.6169,-0.8431,-2.4797,0.1284
Siena,-1.873,-1.6876,0.2536,-1.6794,-2.1457,-0.6169,-0.8431,-1.932,-0.6217
Stonehill,-1.8139,-1.7687,0.7321,-1.6699,-2.4157,-0.6169,-0.8431,-2.287,-1.3837
Coppin State,-2.0244,-1.7687,-1.1722,-1.7081,-2.5306,-0.6169,-0.8431,-2.287,-1.4641
IUPUI,-2.1059,-1.5458,-1.4498,-1.7177,-1.801,-0.6169,-0.8431,-2.1551,-0.7378
Mississippi Valley State,-2.7437,-2.0658,1.4593,-1.7273,-3.0305,-0.6169,-0.8431,-2.7211,-1.9916
