Team,Record,NET_Rank
Grambling,9-13,310
Eastern Illinois,9-14,311
Northern Arizona,12-15,312
Georgia Southern,5-22,313
Portland,7-19,314
Delaware State,9-13,315
Bethune-Cookman,10-13,316
DePaul,3-22,317
South Dakota,7-17,318
Texas-Rio Grande Valley,4-19,319
Bellarmine,3-21,320
Charleston Southern,5-17,321
Coastal Carolina,6-17,322
Army,8-17,323
Fairleigh Dickinson,11-14,324
Navy,7-17,325
Arkansas-Pine Bluff,7-14,326
Manhattan,4-19,327
NJIT,6-17,328
William & Mary,6-18,329
Eastern Michigan,8-15,330
Southern Indiana,4-20,331
Northwestern State,6-18,332
Texas A&M-Commerce,6-17,333
Sacramento State,4-21,334
Tennessee Tech,6-18,335
Dartmouth,3-17,336
Alabama A&M,7-18,337
North Carolina A&T,7-20,338
Incarnate Word,6-17,339
Morgan State,6-15,340
Cal Poly,3-22,341
Loyola (MD),5-21,342
Central Arkansas,7-20,343
New Orleans,4-18,344
Buffalo,2-22,345
Saint Francis (PA),6-18,346
Florida A&M,3-18,347
Hampton,3-21,348
Southeast Missouri State,4-19,349
Long Island University,6-19,350
Maryland-Eastern Shore,3-15,351
Pacific,4-22,352
Holy Cross,7-19,353
Houston Christian,4-18,354
VMI,1-23,355
Siena,4-22,356
Stonehill,2-25,357
Lindenwood,5-19,358
Detroit Mercy,1-27,359
Coppin State,2-20,360
IUPUI,3-22,361
Mississippi Valley State,0-25,362
