RPI,Unnamed:_1,Team,Record,RPI.1,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4,Unnamed:_17,Unnamed:_18,Unnamed:_19,Unnamed:_20,Unnamed:_21,Unnamed:_22,Unnamed:_23,Unnamed:_24,Unnamed:_25,Unnamed:_26,Unnamed:_27,Unnamed:_28,Unnamed:_29,Unnamed:_30,Unnamed:_31,Unnamed:_32,Unnamed:_33,Unnamed:_34,Unnamed:_35,Unnamed:_36,Unnamed:_37,Unnamed:_38,Unnamed:_39,Unnamed:_40,Unnamed:_41,Unnamed:_42,Unnamed:_43,Unnamed:_44,Unnamed:_45,Unnamed:_46,Unnamed:_47,Unnamed:_48,Unnamed:_49
104,,Wagner,13-6,104,207,0-1,226,56,8-2,5-4,0-0,0-1,2-1,4-3,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,Sam Houston,12-8,105,115,1-2,195,119,6-3,4-4,2-1,0-3,0-2,3-1,9-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Hawaii,8-7,106,126,0-0,323,323,3-1,4-5,1-1,1-2,1-1,3-2,3-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,Santa Clara,14-11,107,162,4-2,112,239,1-2,11-5,2-4,0-4,1-5,7-1,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Wyoming,14-10,108,118,2-1,82,74,8-2,3-7,3-1,0-4,3-3,3-3,8-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,Green Bay,15-7,109,206,1-2,152,89,6-4,9-3,0-0,0-0,5-4,4-3,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,North Carolina A&T,13-3,110,330,1-1,117,93,5-0,6-2,2-1,0-1,2-0,1-0,10-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Illinois State,15-9,111,147,2-0,40,151,7-3,7-3,1-3,0-3,3-3,5-2,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,High Point,21-7,112,243,1-3,222,117,12-4,9-2,0-1,0-1,0-1,4-2,17-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Creighton,10-12,113,56,1-3,166,47,2-5,5-5,3-2,0-5,3-5,2-1,5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Kent State,11-9,114,133,1-2,199,166,7-1,4-7,0-1,0-3,0-4,7-0,4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,Richmond,13-9,115,158,3-2,85,130,6-2,6-5,1-2,0-5,1-2,2-2,10-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,DePaul,14-10,116,88,3-2,114,63,8-5,6-1,0-4,2-6,2-2,3-1,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,Holy Cross,7-8,117,75,0-0,323,323,4-2,3-6,0-0,1-5,0-2,0-0,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,Montana State,17-7,118,273,3-3,132,165,8-2,8-4,1-1,0-2,1-2,6-2,10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Vanderbilt,4-4,119,44,4-1,88,212,3-2,1-2,0-0,0-2,0-1,2-1,2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,Miami (FL),11-11,120,62,3-0,101,273,8-4,3-6,0-1,0-7,2-3,5-1,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,Nevada-Las Vegas,15-9,121,119,2-3,225,200,6-9,9-0,0-0,0-1,4-2,4-5,7-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,Seton Hall,14-7,122,192,2-1,165,171,8-4,6-2,0-1,1-2,1-2,3-2,9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,Liberty,17-8,123,300,3-3,160,226,10-0,5-7,2-1,0-4,1-1,1-2,15-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,Cleveland State,13-9,124,169,0-0,294,203,6-3,4-5,3-1,0-4,1-1,3-3,9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,Southern California,11-12,125,57,2-1,240,274,7-5,3-5,1-2,0-7,1-2,6-2,4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Cal Poly,13-11,126,120,4-2,47,48,7-4,5-6,1-1,0-4,0-0,5-4,8-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Boise State,13-9,127,138,2-0,210,316,8-4,4-4,1-1,0-0,2-5,2-1,9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Duke,3-1,128,144,3-0,106,281,3-1,0-0,0-0,0-1,0-0,0-0,3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Jacksonville State,15-9,129,236,3-1,103,187,11-1,4-7,0-1,1-3,0-1,3-5,11-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Saint Francis (PA),14-9,130,242,2-4,203,198,6-3,8-6,0-0,0-1,1-3,3-2,10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,Pacific,11-11,131,97,2-1,41,17,4-6,6-4,1-1,0-4,3-2,4-2,4-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Rhode Island,11-8,132,154,0-3,284,183,7-3,4-4,0-1,1-2,1-3,3-1,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,Murray State,16-11,133,204,3-2,219,298,8-4,7-6,1-1,1-4,1-1,5-3,9-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,Massachusetts-Lowell,12-9,134,197,1-2,162,98,7-3,5-6,0-0,0-4,1-1,2-2,9-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,Louisiana Tech,14-10,135,174,5-1,78,176,8-4,5-5,1-1,0-3,1-1,6-4,7-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,Ball State,14-11,136,166,2-2,138,189,3-8,11-2,0-1,1-1,2-5,5-3,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,Arizona State,12-12,137,64,5-0,14,67,10-4,1-5,1-3,1-6,1-2,6-1,4-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,Tennessee Tech,15-10,138,214,2-1,200,289,9-3,5-6,1-1,1-2,1-2,4-4,9-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,Missouri,9-13,139,37,4-1,146,223,5-7,4-3,0-3,1-8,1-4,3-1,4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,Old Dominion,13-11,140,122,3-1,127,241,6-6,4-4,3-1,0-3,2-1,5-3,6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,Marshall,8-11,141,47,1-1,119,99,6-4,2-6,0-1,1-2,2-2,2-6,3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,Fairleigh Dickinson,16-8,142,277,4-1,190,295,8-4,8-4,0-0,1-2,1-0,1-2,13-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,Temple,11-11,143,106,0-3,116,1,7-4,4-6,0-1,1-7,0-3,4-0,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,Campbell,16-7,144,304,3-2,269,309,9-3,7-4,0-0,0-0,0-3,2-0,14-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,Mercer,18-7,145,311,5-3,157,231,7-4,8-2,3-1,0-2,0-1,2-3,16-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
