RPI,Team,Record,SOS,NC_Rec,NC_RPI,NC_SOS,H,R,N,Q1,Q2,Q3,Q4
276,Wagner,13-15,348,5-6,217,291,8-4,5-11,0-0,0-2,0-2,1-3,12-8
277,St. Francis (NY),10-19,286,0-11,338,158,7-4,3-15,0-0,0-1,0-3,0-7,10-8
278,Dartmouth,2-26,69,2-12,236,48,1-13,1-12,0-1,0-7,0-6,1-8,1-5
279,Campbell,14-15,350,3-6,287,298,7-5,6-7,1-3,0-0,0-4,0-2,14-9
280,Alabama A&M,14-15,357,2-8,309,319,9-2,5-12,0-1,0-2,0-3,0-3,14-7
281,Elon,9-21,200,4-7,227,195,6-7,3-12,0-2,0-1,0-3,2-10,7-7
282,Incarnate Word,11-14,336,1-5,322,216,7-4,4-9,0-1,0-1,0-3,1-3,10-7
283,Georgia State,10-21,215,4-7,278,300,6-7,1-13,3-1,0-3,1-3,0-13,9-2
284,Nevada,9-21,186,2-8,307,200,5-9,2-10,2-2,0-2,0-6,0-7,9-6
285,Denver,11-18,309,3-7,316,315,6-8,5-9,0-1,0-1,0-3,0-5,11-9
286,Cal State Bakersfield,8-23,184,3-5,136,77,4-8,2-14,2-1,0-4,1-3,0-9,7-7
287,Robert Morris,9-19,224,4-3,187,255,7-7,2-12,0-0,0-4,0-2,2-6,7-7
288,Grambling,10-20,312,1-10,293,107,4-6,6-11,0-3,0-3,0-2,1-7,9-8
289,Loyola Marymount,6-23,133,2-8,308,192,4-10,2-12,0-1,0-6,0-3,2-10,4-4
290,North Carolina Central,12-16,347,3-9,323,331,6-5,5-10,1-1,0-2,1-1,0-5,11-8
291,SIU Edwardsville,9-22,235,1-10,274,109,5-7,3-13,1-2,0-3,0-6,2-5,7-8
292,Houston Christian,8-18,281,2-6,153,42,4-6,3-12,1-0,0-4,0-2,2-2,6-10
293,Ohio,6-23,175,2-9,300,251,2-11,4-12,0-0,0-5,0-3,1-7,5-8
294,Rider,10-21,289,3-6,282,316,4-9,4-10,2-2,0-0,0-4,1-8,9-9
295,American,9-22,241,1-10,285,127,5-9,4-11,0-2,0-2,1-3,0-10,8-7
296,Longwood,9-21,238,1-10,249,37,6-8,3-12,0-1,0-2,0-6,0-3,9-10
297,Massachusetts-Lowell,5-22,155,1-9,250,39,2-11,3-11,0-0,0-2,0-6,0-7,5-7
298,Valparaiso,7-23,190,2-7,321,276,3-12,4-10,0-1,0-4,0-5,2-6,5-8
299,Bethune-Cookman,11-18,327,1-9,324,198,6-6,4-10,1-2,0-2,0-3,0-5,11-8
300,Lafayette,10-19,304,3-7,266,224,7-7,3-12,0-0,0-1,0-2,0-9,10-7
301,Indiana State,11-19,306,5-4,305,347,7-10,4-8,0-1,0-4,0-4,3-4,8-7
302,St. Bonaventure,6-26,144,3-12,297,203,4-10,2-13,0-3,0-3,0-5,1-11,5-7
303,Southern Indiana,9-17,326,3-5,242,307,5-6,4-11,0-0,0-0,0-3,1-8,8-6
304,Furman,8-19,283,5-7,265,325,5-7,3-11,0-1,0-1,0-5,0-9,8-4
305,Loyola (MD),10-21,310,5-6,254,293,5-10,5-11,0-0,0-1,0-3,1-6,9-11
306,Radford,12-17,351,2-7,345,345,8-4,3-12,1-1,0-0,0-4,0-4,12-9
307,Maryland-Eastern Shore,7-20,264,1-10,264,94,4-6,2-13,1-1,0-3,0-2,0-7,7-8
308,Loyola (IL),6-24,187,5-8,270,302,2-11,2-12,2-1,0-2,1-4,1-12,4-6
309,Central Arkansas,6-18,246,3-6,288,322,4-6,2-12,0-0,0-3,0-2,2-6,4-7
310,Canisius,9-21,294,3-6,281,287,6-8,3-12,0-1,0-1,0-2,2-8,7-10
311,UNC Asheville,10-19,320,2-7,277,179,5-9,4-9,1-1,0-1,0-3,1-5,9-10
312,Binghamton,11-17,349,5-6,313,357,7-5,4-11,0-1,0-1,0-2,0-7,11-7
313,Morehead State,9-20,305,2-7,290,193,6-6,2-13,1-1,0-2,0-3,1-6,8-9
314,Cal State Northridge,7-24,239,1-9,318,210,3-11,4-12,0-1,0-2,1-5,0-9,6-8
315,Tennessee State,8-18,314,2-6,325,289,5-6,3-11,0-1,0-1,0-3,2-6,6-8
316,New Hampshire,6-21,259,4-7,203,166,2-10,4-11,0-0,0-2,0-3,0-7,6-9
317,Bellarmine,7-22,220,2-9,299,183,5-8,1-13,1-1,0-5,0-1,0-9,7-7
318,Presbyterian,11-17,352,2-7,334,332,8-4,3-12,0-1,0-1,0-2,1-3,10-11
319,McNeese State,10-19,338,1-8,348,275,6-8,4-11,0-0,0-3,0-2,0-3,10-11
320,Central Michigan,6-23,168,2-9,328,225,6-8,0-13,0-2,0-4,0-4,0-8,6-7
321,Seattle,6-24,242,0-10,350,223,2-11,3-12,1-1,0-1,0-6,1-7,5-10
322,Kansas City,7-23,279,2-7,295,256,3-9,2-13,2-1,0-1,0-3,1-6,6-13
323,San Jose State,6-25,226,2-9,310,227,3-11,2-12,1-2,0-2,0-5,0-9,6-9
324,Fresno State,8-22,272,5-6,244,235,6-9,1-11,1-2,0-3,0-4,3-6,5-9
325,Northwestern State,8-18,318,1-6,284,122,7-4,1-13,0-1,0-3,0-1,0-4,8-10
326,Alcorn State,10-17,356,2-7,312,264,6-5,4-12,0-0,0-2,0-1,0-5,10-9
327,Coppin State,8-22,328,3-12,292,266,5-5,3-16,0-1,0-3,0-2,0-8,8-9
328,Western Illinois,8-20,329,3-7,347,354,4-9,4-10,0-1,0-1,0-1,1-5,7-13
329,North Florida,5-20,268,1-7,294,204,3-7,2-11,0-2,0-2,1-2,0-7,4-9
330,Delaware State,5-19,303,0-9,332,144,2-7,3-11,0-1,0-2,0-2,0-6,5-9
331,Long Island University,7-22,325,2-10,296,253,3-8,4-14,0-0,0-2,0-2,0-7,7-11
332,Stonehill,8-20,343,3-9,302,299,4-8,4-11,0-1,0-0,0-2,0-8,8-10
333,Detroit Mercy,4-25,193,1-7,336,232,3-10,1-15,0-0,0-3,0-2,1-10,3-10
334,South Carolina Upstate,9-20,340,1-8,337,219,6-7,2-12,1-1,0-3,0-2,1-3,8-12
335,UC Riverside,5-25,243,1-7,339,240,3-9,1-14,1-2,0-2,0-4,0-9,5-10
336,Tarleton State,6-21,290,4-5,234,273,5-7,1-12,0-2,0-2,0-5,0-7,6-7
337,Queens (NC),5-21,293,2-6,315,310,3-9,2-12,0-0,0-3,0-3,0-6,5-9
338,UNC Wilmington,4-24,223,2-7,273,202,3-9,1-14,0-1,0-2,0-3,0-11,4-8
339,Bradley,3-28,206,2-8,331,314,1-12,2-14,0-2,0-4,0-7,1-6,2-11
340,Western Carolina,6-21,315,4-8,344,352,4-9,2-11,0-1,0-1,1-3,1-6,4-11
341,Utah Valley,4-24,247,1-8,354,320,3-9,1-14,0-1,0-4,0-2,0-5,4-13
342,South Alabama,6-23,301,3-7,342,346,5-9,1-13,0-1,0-0,0-5,2-9,4-9
343,Saint Francis (PA),7-22,335,1-11,352,297,5-7,2-15,0-0,0-2,0-0,0-7,7-13
344,Louisiana-Monroe,4-23,278,1-7,351,301,3-10,1-12,0-1,0-1,0-3,1-10,3-9
345,New Orleans,8-20,354,1-8,359,349,6-5,2-15,0-0,0-0,0-2,2-4,6-14
346,Utah State,3-26,287,2-8,317,272,1-12,2-13,0-1,0-2,0-4,0-9,3-11
347,Weber State,6-25,321,4-8,346,356,4-10,1-14,1-1,0-2,0-3,0-9,6-11
348,Charleston Southern,4-25,308,1-9,280,85,3-10,1-14,0-1,0-3,0-1,0-6,4-15
349,Bryant,7-21,358,4-7,357,361,3-9,3-12,1-0,0-0,0-3,1-7,6-11
350,Florida A&M,5-23,334,1-9,340,243,4-7,1-16,0-0,0-2,0-3,0-5,5-13
351,Chicago State,4-21,345,4-21,311,228,2-7,2-14,0-0,0-4,0-1,0-6,4-10
352,Texas Southern,2-27,285,0-11,279,44,1-11,1-16,0-0,0-4,0-2,0-8,2-13
353,South Carolina State,3-27,316,1-14,349,271,2-8,1-17,0-2,0-2,0-2,0-7,3-16
354,Lindenwood,1-24,266,0-10,341,170,1-9,0-12,0-3,0-1,0-3,0-7,1-13
355,Central Connecticut State,7-22,359,4-8,353,359,5-8,2-14,0-0,0-1,0-2,0-5,7-14
356,Winthrop,7-22,360,1-9,361,358,5-7,2-13,0-2,0-1,0-1,0-3,7-17
357,Saint Peter's,0-30,267,0-9,356,288,0-12,0-17,0-1,0-1,0-4,0-7,0-18
358,Nicholls State,4-24,353,2-8,355,351,2-11,1-13,1-0,0-0,0-2,1-4,3-18
359,Mississippi Valley State,2-27,346,2-9,301,238,1-10,1-15,0-2,0-3,0-2,0-4,2-18
360,Navy,1-29,322,0-11,358,330,1-14,0-15,0-0,0-0,0-2,0-8,1-19
361,Non D1,0-26,361,0-26,360,335,0-7,0-17,0-2,0-2,0-4,0-3,0-17
