,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
45,46,Central Florida,16,11,5,0.688,11.48,1.85,2.0,2.0,8,3,1,2,1195,1041,70.7,104.8,0.366,0.366,0.52,54.2,47.5,12.9,16.9,0.484,15.3,35.3,0.254
46,47,Central Michigan,17,8,9,0.471,-10.36,-1.67,3.0,2.0,4,2,3,6,1138,1253,68.1,98.4,0.262,0.354,0.517,47.8,48.0,9.5,9.0,0.495,16.8,28.2,0.173
47,48,Charleston Southern,17,6,11,0.353,-13.48,-0.9,2.0,2.0,5,3,1,8,1201,1277,68.3,103.5,0.341,0.376,0.551,48.5,47.5,5.5,7.3,0.51,16.2,25.3,0.261
48,49,Charlotte,17,10,7,0.588,4.78,3.34,4.0,1.0,7,1,2,4,1179,1109,63.4,107.8,0.303,0.374,0.548,49.5,55.0,10.1,10.4,0.514,13.2,27.1,0.227
49,50,Chattanooga,18,11,7,0.611,-2.2,-4.58,3.0,2.0,8,2,3,5,1409,1265,69.6,110.9,0.313,0.516,0.574,52.4,51.6,9.3,11.7,0.544,15.3,29.3,0.23
50,51,Chicago State,24,9,15,0.375,-8.93,-3.05,,,3,5,5,9,1553,1694,66.5,96.8,0.387,0.347,0.499,47.6,43.9,12.9,7.8,0.455,17.3,32.4,0.271
51,52,Cincinnati,17,13,4,0.765,16.7,3.64,2.0,2.0,11,1,2,2,1351,1129,69.9,112.1,0.293,0.343,0.539,57.5,56.2,9.0,11.6,0.516,13.4,37.4,0.196
52,53,Clemson,17,12,5,0.706,14.67,7.2,2.0,4.0,7,2,2,3,1375,1248,68.2,116.9,0.281,0.39,0.58,53.5,53.4,7.0,13.9,0.55,12.7,30.7,0.215
53,54,Cleveland State,19,11,8,0.579,-2.99,-3.71,4.0,4.0,9,0,2,8,1460,1386,69.5,109.9,0.352,0.325,0.523,48.7,46.3,12.8,13.1,0.494,12.8,35.9,0.232
54,55,Coastal Carolina,17,5,12,0.294,-8.58,-2.98,2.0,4.0,4,9,1,3,1294,1312,72.0,105.0,0.335,0.332,0.525,52.3,47.9,8.5,11.3,0.504,15.6,34.8,0.209
55,56,Colgate,18,10,8,0.556,-1.36,-0.89,4.0,1.0,4,2,4,5,1270,1200,67.6,104.3,0.254,0.399,0.539,52.1,57.8,10.2,8.4,0.515,15.0,28.1,0.177
56,57,College of Charleston,18,13,5,0.722,3.14,-0.27,4.0,1.0,8,1,4,1,1439,1344,72.2,110.7,0.313,0.483,0.538,52.4,52.5,8.4,8.0,0.503,12.9,33.1,0.229
57,58,Colorado,18,13,5,0.722,15.04,5.48,4.0,3.0,11,0,0,4,1450,1278,70.5,113.5,0.358,0.297,0.596,55.9,58.5,9.2,6.1,0.56,16.7,33.0,0.276
58,59,Colorado State,17,14,3,0.824,16.32,6.85,2.0,2.0,9,1,2,2,1385,1166,68.7,117.7,0.331,0.386,0.617,50.6,66.8,10.4,9.3,0.588,13.8,24.7,0.252
59,60,Columbia,15,9,6,0.6,-5.76,-4.92,0.0,2.0,7,1,2,5,1212,1059,71.7,112.7,0.315,0.373,0.579,52.8,64.0,11.3,6.0,0.544,14.6,29.9,0.244
60,61,Connecticut,18,16,2,0.889,20.03,2.7,6.0,1.0,10,0,2,2,1474,1162,66.9,122.4,0.339,0.415,0.598,56.5,61.9,9.8,14.2,0.571,13.2,38.1,0.247
61,62,Coppin State,16,2,14,0.125,-19.9,-3.4,1.0,1.0,2,2,0,11,872,1136,67.6,80.1,0.273,0.312,0.444,43.2,40.6,12.4,8.6,0.407,21.0,25.9,0.189
62,63,Cornell,15,12,3,0.8,4.08,-1.99,2.0,0.0,5,0,5,3,1263,1157,74.0,113.8,0.304,0.471,0.606,50.3,59.7,11.7,6.0,0.585,16.4,28.6,0.217
63,64,Creighton,18,13,5,0.722,19.68,6.9,4.0,3.0,8,1,4,3,1407,1177,67.4,115.1,0.251,0.489,0.594,54.5,56.9,5.3,8.1,0.569,14.5,28.2,0.191
64,65,Dartmouth,15,4,11,0.267,-14.84,-1.3,0.0,2.0,4,2,0,9,909,1038,67.1,90.4,0.292,0.456,0.492,49.2,51.2,6.7,9.0,0.458,16.9,21.1,0.204
65,66,Davidson,17,11,6,0.647,2.8,1.13,1.0,3.0,7,2,2,3,1238,1155,66.6,108.6,0.36,0.438,0.552,50.5,52.1,9.9,7.7,0.518,14.0,28.1,0.256
66,67,Dayton,16,14,2,0.875,14.3,5.68,4.0,0.0,8,0,3,1,1171,1033,63.6,115.0,0.389,0.466,0.597,50.3,60.9,9.0,11.7,0.565,14.9,29.2,0.287
67,68,Delaware,18,11,7,0.611,1.07,-2.99,3.0,2.0,4,2,5,3,1368,1266,68.8,109.6,0.299,0.35,0.557,50.8,53.0,9.2,7.3,0.527,13.4,27.8,0.217
68,69,Delaware State,18,9,9,0.5,-11.41,-5.29,2.0,0.0,4,2,3,6,1295,1313,71.9,97.4,0.335,0.238,0.511,54.0,48.1,11.8,5.9,0.471,18.0,34.0,0.242
69,70,Denver,19,12,7,0.632,0.57,-2.3,3.0,1.0,7,1,4,5,1620,1482,72.0,116.9,0.415,0.363,0.573,51.4,48.0,8.3,9.4,0.532,11.7,30.8,0.309
70,71,DePaul,17,3,14,0.176,-5.79,7.33,0.0,6.0,3,8,0,4,1113,1336,68.2,96.0,0.339,0.347,0.528,45.6,57.3,6.5,9.6,0.492,17.9,22.6,0.242
71,72,Detroit Mercy,19,0,19,0.0,-17.78,-1.46,0.0,8.0,0,6,0,13,1196,1506,68.0,91.4,0.291,0.367,0.481,45.0,43.4,9.4,5.8,0.443,17.5,27.0,0.211
72,73,Drake,18,15,3,0.833,9.88,-0.6,6.0,1.0,9,0,3,2,1418,1220,67.9,115.2,0.306,0.407,0.585,51.5,56.9,9.6,5.4,0.554,12.2,26.2,0.231
73,74,Drexel,19,13,6,0.684,2.77,-3.95,6.0,0.0,7,1,5,5,1405,1216,65.9,111.6,0.305,0.321,0.546,57.1,46.3,8.0,11.4,0.514,14.3,36.9,0.224
74,75,Duke,16,13,3,0.813,20.23,4.29,4.0,1.0,9,1,2,2,1312,1057,69.0,118.8,0.353,0.356,0.586,53.1,57.4,10.4,11.6,0.552,11.6,29.6,0.264
75,76,Duquesne,16,9,7,0.563,6.01,3.88,0.0,4.0,6,3,1,3,1184,1104,69.1,107.1,0.331,0.417,0.536,51.4,51.0,11.2,11.2,0.504,14.8,33.2,0.234
76,77,East Carolina,18,9,9,0.5,0.35,-0.42,2.0,3.0,8,6,1,2,1286,1243,66.2,108.0,0.389,0.366,0.527,50.6,47.5,12.1,8.3,0.49,13.7,34.5,0.269
77,78,East Tennessee State,18,9,9,0.5,-4.79,-1.67,1.0,4.0,6,1,2,8,1285,1256,69.6,102.6,0.34,0.424,0.503,49.7,46.2,10.5,12.1,0.462,14.1,32.3,0.244
78,79,Eastern Illinois,18,8,10,0.444,-10.53,-1.6,2.0,3.0,5,3,2,7,1260,1210,68.4,102.3,0.242,0.276,0.508,51.8,52.1,11.9,8.1,0.479,13.8,30.7,0.174
79,80,Eastern Kentucky,17,8,9,0.471,-5.56,0.01,4.0,0.0,6,3,2,6,1385,1304,74.1,109.1,0.289,0.362,0.532,53.1,51.9,10.0,15.7,0.509,13.9,35.3,0.192
80,81,Eastern Michigan,17,8,9,0.471,-13.1,-4.1,1.0,4.0,6,3,2,5,1148,1265,67.0,99.3,0.286,0.311,0.52,49.1,43.4,8.4,6.6,0.492,15.8,26.9,0.198
81,82,Eastern Washington,17,10,7,0.588,1.47,2.07,4.0,0.0,5,0,5,7,1345,1234,71.0,111.4,0.328,0.437,0.602,50.7,63.5,8.9,9.9,0.574,16.6,25.8,0.243
82,83,Elon,18,8,10,0.444,-10.17,-4.23,1.0,4.0,6,2,0,8,1395,1385,69.2,112.0,0.318,0.393,0.56,50.6,48.7,8.6,8.9,0.532,14.3,32.6,0.224
83,84,Evansville,18,11,7,0.611,-2.51,-1.16,2.0,5.0,7,2,3,5,1372,1325,71.6,105.1,0.288,0.333,0.547,50.1,53.2,9.3,10.7,0.519,14.5,25.4,0.204
84,85,Fairfield,17,10,7,0.588,-3.77,-6.15,4.0,2.0,4,2,6,4,1297,1212,70.4,108.4,0.276,0.414,0.561,48.8,53.2,11.4,6.3,0.527,15.0,28.2,0.215
85,86,Fairleigh Dickinson,19,8,11,0.421,-14.36,-6.89,2.0,2.0,4,4,4,6,1486,1511,74.7,104.1,0.339,0.42,0.535,48.7,55.6,11.1,5.9,0.5,15.6,29.0,0.242
