Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
14,Arkansas State,23,10,13,0.435,-1.86,-2.25,6.0,5.0,7,2,2,10,1817,1808,925,628,1393,0.451,126,370,0.341,426,563,0.757,254,844,261,177,101,228,400
15,Arkansas-Pine Bluff,21,10,11,0.476,-15.13,-4.07,5.0,3.0,6,3,4,8,1744,1770,840,638,1358,0.47,167,525,0.318,327,457,0.716,255,810,371,139,74,269,393
16,Army,23,6,17,0.261,-13.72,-7.86,2.0,8.0,4,8,2,9,1387,1467,930,527,1226,0.43,151,464,0.325,262,382,0.686,192,778,292,172,70,257,350
17,Auburn,22,18,4,0.818,21.62,5.12,7.0,2.0,11,0,3,3,1812,1449,880,486,1280,0.38,135,455,0.297,342,467,0.732,245,751,223,144,64,301,398
18,Austin Peay,24,11,13,0.458,-6.28,-2.66,4.0,5.0,8,1,2,11,1693,1670,975,592,1315,0.45,153,505,0.303,333,476,0.7,244,866,305,105,72,297,347
19,Ball State,22,12,10,0.545,-4.99,-5.19,4.0,6.0,8,4,4,5,1655,1549,885,568,1266,0.449,152,447,0.34,261,369,0.707,197,708,265,132,63,259,426
20,Baylor,21,16,5,0.762,20.32,7.82,5.0,3.0,11,1,2,2,1763,1487,865,544,1213,0.448,138,416,0.332,261,368,0.709,206,631,272,139,73,274,410
21,Bellarmine,24,6,18,0.25,-11.13,-0.23,2.0,7.0,4,5,2,13,1648,1783,965,635,1404,0.452,211,621,0.34,302,418,0.722,234,867,320,118,74,247,339
22,Belmont,23,12,11,0.522,-0.65,2.44,5.0,7.0,8,2,3,8,1772,1806,925,663,1420,0.467,200,586,0.341,280,385,0.727,224,830,364,156,68,296,379
23,Bethune-Cookman,21,10,11,0.476,-12.29,-7.34,5.0,3.0,7,2,3,7,1572,1558,845,502,1184,0.424,159,461,0.345,395,545,0.725,241,757,302,194,59,368,373
24,Binghamton,21,10,11,0.476,-10.77,-4.24,2.0,6.0,7,2,3,9,1499,1513,845,535,1264,0.423,160,478,0.335,283,398,0.711,200,708,241,150,88,197,362
25,Boise State,22,16,6,0.727,13.84,7.59,7.0,2.0,10,2,4,1,1660,1462,885,526,1221,0.431,130,434,0.3,280,379,0.739,171,660,239,125,81,260,389
26,Boston College,21,13,8,0.619,8.57,4.72,4.0,6.0,8,3,4,3,1604,1523,845,544,1235,0.44,164,463,0.354,271,351,0.772,197,727,274,126,74,254,340
27,Boston University,23,9,14,0.391,-10.95,-7.36,4.0,6.0,5,5,4,9,1472,1510,920,520,1233,0.422,168,498,0.337,300,425,0.706,160,777,265,154,67,258,348
28,Bowling Green State,22,15,7,0.682,-3.24,-5.04,6.0,4.0,9,3,4,3,1688,1583,900,593,1340,0.443,158,440,0.359,239,359,0.666,205,789,273,137,82,270,423
29,Bradley,23,17,6,0.739,10.53,2.53,9.0,3.0,10,2,5,3,1749,1551,935,539,1287,0.419,161,485,0.332,312,444,0.703,231,759,269,155,44,300,361
30,Brigham Young,21,16,5,0.762,23.75,5.37,4.0,4.0,11,2,2,3,1773,1387,840,507,1242,0.408,126,424,0.297,247,356,0.694,190,680,246,129,41,249,298
31,Brown,21,6,15,0.286,-6.01,-1.91,2.0,4.0,3,6,2,7,1470,1511,851,541,1218,0.444,151,447,0.338,278,402,0.692,194,750,265,131,74,247,387
32,Bryant,23,14,9,0.609,-2.85,-2.66,6.0,2.0,6,2,7,7,1836,1745,930,611,1552,0.394,164,538,0.305,359,524,0.685,307,1008,290,160,77,295,406
33,Bucknell,23,9,14,0.391,-8.56,-4.51,6.0,4.0,4,6,5,8,1512,1605,930,561,1279,0.439,191,554,0.345,292,408,0.716,217,759,340,152,70,245,377
34,Buffalo,21,2,19,0.095,-15.45,-0.9,1.0,8.0,1,9,1,8,1396,1681,840,633,1302,0.486,169,463,0.365,246,348,0.707,217,768,351,171,66,226,306
35,Butler,22,15,7,0.682,14.14,7.24,6.0,5.0,10,2,3,4,1795,1624,910,611,1418,0.431,174,552,0.315,228,317,0.719,248,794,291,146,102,264,357
36,Cal Poly,23,4,19,0.174,-12.19,-1.37,0.0,11.0,3,8,0,10,1439,1659,935,568,1271,0.447,130,390,0.333,393,546,0.72,268,895,258,150,81,278,412
37,Cal State Bakersfield,22,9,13,0.409,-6.02,-1.32,4.0,7.0,7,3,1,9,1507,1520,895,504,1172,0.43,148,430,0.344,364,522,0.697,247,779,261,111,76,302,374
38,Cal State Fullerton,22,11,11,0.5,-4.6,0.25,4.0,6.0,5,4,5,6,1473,1490,885,518,1215,0.426,148,471,0.314,306,436,0.702,229,782,265,149,61,291,422
39,Cal State Northridge,23,14,9,0.609,-4.42,-4.62,5.0,6.0,8,3,6,6,1754,1681,920,559,1403,0.398,203,638,0.318,360,498,0.723,232,787,324,189,79,305,444
40,California,22,9,13,0.409,6.51,7.74,5.0,6.0,7,5,2,4,1656,1683,900,595,1330,0.447,176,497,0.354,317,433,0.732,203,777,277,128,67,235,372
41,California Baptist,21,13,8,0.619,0.35,-3.18,6.0,4.0,9,4,4,4,1445,1351,840,496,1166,0.425,102,316,0.323,257,352,0.73,167,678,217,108,69,234,394
