Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
127,Iowa State,21,16,5,0.762,22.32,4.61,5.0,3.0,13,0,2,3,1677,1305,69.5,89.4,0.347,0.468,0.52,47.4,59.8,8.8,7.5,0.481,23.4,27.6,0.248
128,IUPUI,24,6,18,0.25,-19.19,-3.71,2.0,11.0,4,8,2,8,1585,1872,68.4,113.5,0.329,0.382,0.592,52.1,56.8,9.9,7.9,0.568,16.9,34.0,0.234
129,Jackson State,21,8,13,0.381,-9.92,-2.78,4.0,4.0,2,1,4,11,1484,1634,71.3,109.1,0.385,0.398,0.562,50.7,56.6,11.0,10.1,0.527,16.2,33.0,0.274
130,Jacksonville,23,11,12,0.478,-10.69,-3.34,2.0,7.0,8,1,2,11,1681,1697,70.0,104.9,0.396,0.389,0.539,47.3,53.6,10.8,8.4,0.503,15.8,30.6,0.274
131,Jacksonville State,23,11,12,0.478,-2.31,-2.76,3.0,5.0,6,4,4,8,1622,1487,66.8,96.3,0.34,0.36,0.511,45.7,44.1,10.0,7.7,0.476,16.7,25.6,0.235
132,James Madison,23,20,3,0.87,8.96,-5.13,8.0,3.0,11,1,7,2,1969,1588,73.3,92.7,0.342,0.333,0.504,46.3,43.0,7.9,8.7,0.464,18.6,25.9,0.243
133,Kansas,22,18,4,0.818,19.78,8.87,6.0,3.0,12,0,2,3,1741,1485,70.2,96.2,0.262,0.4,0.489,46.3,48.9,10.1,6.9,0.458,14.6,26.3,0.184
134,Kansas City,24,10,14,0.417,-6.78,-2.82,4.0,5.0,8,3,2,8,1725,1701,67.6,103.2,0.41,0.346,0.544,46.9,49.7,8.9,7.7,0.506,16.0,26.6,0.288
135,Kansas State,22,14,8,0.636,10.53,7.17,4.0,5.0,11,2,2,4,1585,1511,67.8,98.6,0.311,0.386,0.497,48.0,50.0,11.5,9.8,0.461,15.4,32.0,0.219
136,Kennesaw State,23,13,10,0.565,-6.62,-5.47,4.0,5.0,8,3,3,7,1943,1841,75.9,104.3,0.387,0.376,0.536,50.2,47.4,8.8,12.6,0.495,15.9,30.8,0.278
137,Kent State,22,11,11,0.5,-0.02,-1.52,4.0,6.0,5,6,4,4,1705,1612,69.1,103.7,0.331,0.413,0.553,48.5,52.6,10.0,9.2,0.523,17.3,28.6,0.233
138,Kentucky,21,15,6,0.714,16.52,6.09,5.0,4.0,10,3,3,2,1865,1646,73.8,104.3,0.315,0.414,0.523,49.7,53.9,8.0,9.0,0.491,14.2,29.6,0.221
139,La Salle,22,11,11,0.5,-2.47,-0.13,2.0,7.0,7,5,3,6,1632,1615,67.9,105.7,0.322,0.319,0.534,52.7,52.3,6.7,9.0,0.502,14.7,31.5,0.228
140,Lafayette,23,9,14,0.391,-10.01,-4.51,8.0,2.0,4,6,5,6,1419,1524,65.6,99.9,0.285,0.391,0.514,52.1,51.5,10.0,8.5,0.479,15.5,28.9,0.208
141,Lamar,22,12,10,0.545,-5.1,-7.05,6.0,3.0,9,1,1,9,1780,1666,72.4,103.3,0.408,0.426,0.538,48.1,62.1,10.0,8.3,0.495,17.2,31.3,0.293
142,Le Moyne,22,9,13,0.409,-11.98,-7.19,4.0,4.0,6,2,3,11,1637,1611,70.1,104.5,0.251,0.438,0.545,53.8,57.5,8.6,7.1,0.521,17.1,31.7,0.178
143,Lehigh,21,7,14,0.333,-8.19,-4.67,4.0,6.0,4,4,3,10,1536,1523,71.9,100.3,0.307,0.365,0.536,50.2,46.4,9.6,8.2,0.506,16.0,23.5,0.216
144,Liberty,23,14,9,0.609,3.36,-0.29,3.0,5.0,8,2,2,5,1731,1483,66.0,96.7,0.301,0.326,0.513,48.7,40.0,8.1,11.6,0.477,15.9,23.8,0.218
145,Lindenwood,23,8,15,0.348,-17.16,-6.51,2.0,8.0,4,6,2,9,1520,1658,68.1,105.8,0.386,0.394,0.561,52.5,52.2,9.1,8.8,0.527,16.3,28.7,0.274
146,Lipscomb,24,14,10,0.583,-1.78,-3.59,5.0,4.0,8,1,4,8,1944,1819,71.3,106.3,0.234,0.379,0.544,51.5,42.8,7.1,9.8,0.52,14.6,28.6,0.169
147,Little Rock,23,12,11,0.522,-6.29,-7.33,6.0,4.0,9,4,3,6,1796,1772,71.3,106.9,0.398,0.376,0.548,49.2,48.0,7.2,7.4,0.501,15.3,30.4,0.301
