Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
126,High Point,Big South,,22,6,84.9,74.2,10.71,-4.99,7.55,-4.96,2.59,113.45,109.58,3.87
127,Troy,Sun Belt,,18,9,79.9,69.4,10.44,-2.63,2.87,-0.29,2.58,105.09,101.42,3.67
128,Oakland,Horizon,,18,10,76.9,73.5,3.39,-0.84,2.75,-0.2,2.55,109.07,105.7,3.37
129,Vermont,AEC,,21,6,72.3,62.8,9.48,-3.73,-4.65,7.16,2.51,105.56,101.33,4.22
130,Murray State,MVC,,11,16,70.8,69.1,1.7,1.88,-0.86,3.25,2.38,108.47,104.77,3.71
131,College of Charleston,CAA,,20,7,80.2,73.9,6.26,-2.83,5.82,-3.58,2.25,109.11,105.91,3.2
132,Toledo,MAC,,16,9,80.8,77.6,3.2,-0.96,7.29,-5.04,2.24,111.89,108.51,3.38
133,Louisiana,Sun Belt,,17,10,77.1,70.9,6.22,-1.55,0.81,1.36,2.17,106.77,103.45,3.32
134,Youngstown State,Horizon,,19,9,82.3,71.2,11.11,-4.17,3.12,-0.96,2.16,106.14,103.35,2.79
135,Weber State,Big Sky,,18,9,75.4,65.7,9.67,-2.86,-0.63,2.51,1.89,108.74,106.03,2.72
136,Drexel,CAA,,17,10,72.9,65.4,7.52,-3.48,-3.61,5.32,1.71,105.32,102.12,3.2
137,East Carolina,AAC,,14,12,69.8,67.7,2.12,0.67,-3.78,5.45,1.67,103.99,101.39,2.61
138,Wichita State,AAC,,10,16,72.1,73.6,-1.5,4.33,0.21,1.36,1.57,103.63,101.24,2.39
139,Belmont,MVC,,16,11,77.6,76.9,0.67,2.17,5.33,-3.78,1.56,108.11,105.83,2.28
140,Western Carolina,Southern,,19,8,76.6,68.8,7.78,-2.76,0.59,0.94,1.53,106.27,103.95,2.33
141,Missouri State,MVC,,15,12,72.2,71.4,0.74,0.77,0.28,1.23,1.52,103.69,102.06,1.64
142,Hofstra,CAA,,16,11,74.7,69.3,5.33,-2.09,-0.86,2.27,1.41,106.13,103.79,2.34
143,Western Kentucky,CUSA,,19,7,80.3,73.8,6.54,-3.07,5.21,-3.93,1.28,102.58,101.13,1.46
144,Louisville,ACC,,8,18,73.4,78.9,-5.46,6.6,3.93,-2.79,1.14,107.5,106.5,1.01
145,Eastern Washington,Big Sky,,17,9,79.7,73.4,6.35,-0.91,5.17,-4.21,0.97,109.62,107.87,1.74
146,Georgetown,Big East,,8,17,70.9,76.9,-5.96,6.82,2.47,-1.61,0.86,109.61,109.12,0.48
147,Hawaii,Big West,,15,12,72.6,68.9,3.67,-1.59,-1.25,1.98,0.73,105.32,104.68,0.63
148,Stephen F. Austin,WAC,,14,11,76.9,71.0,5.88,-2.0,0.85,-0.15,0.7,101.58,100.87,0.71
149,Morehead State,OVC,,20,7,75.7,63.1,12.67,-4.3,-2.78,3.44,0.66,106.24,104.07,2.17
150,Colgate,Patriot,,20,8,71.6,63.6,7.93,-4.72,-3.2,3.82,0.61,103.25,102.16,1.1
151,Furman,Southern,,15,12,80.0,75.5,4.56,-2.44,4.55,-4.07,0.48,106.43,105.77,0.66
152,Loyola Marymount,WCC,,10,16,72.2,72.2,0.04,2.04,-0.78,1.21,0.44,108.17,108.16,0.01
153,UNC Greensboro,Southern,,19,8,76.0,69.8,6.19,-1.84,-1.49,1.93,0.44,106.62,106.04,0.57
154,Kent State,MAC,,13,12,76.8,71.9,4.92,-2.22,1.28,-0.89,0.39,106.7,105.83,0.87
155,Chattanooga,Southern,,18,9,79.0,71.4,7.59,-3.63,1.92,-1.59,0.33,108.7,108.06,0.64
156,UT Arlington,WAC,,13,13,74.4,72.8,1.54,1.5,1.69,-1.36,0.33,103.4,102.79,0.61
157,Winthrop,Big South,,16,11,78.6,70.4,8.15,-3.06,1.27,-1.25,0.03,106.1,105.86,0.24
158,Wyoming,MWC,,13,12,73.5,75.3,-1.84,5.0,0.84,-0.85,0.0,106.6,106.75,-0.15
159,Delaware,CAA,,17,10,74.7,69.3,5.48,-4.44,-0.66,0.64,-0.02,104.39,103.96,0.43
160,Montana,Big Sky,,17,9,77.2,71.7,5.54,-2.24,1.18,-1.2,-0.02,109.37,109.5,-0.13
161,Arkansas State,Sun Belt,,13,14,79.6,78.4,1.19,-1.25,4.92,-4.98,-0.06,111.44,110.78,0.66
162,Towson,CAA,,16,11,67.5,63.9,3.63,-1.92,-7.51,7.4,-0.12,101.4,101.33,0.07
163,Tulsa,AAC,,13,12,75.7,73.4,2.36,-0.92,1.4,-1.57,-0.17,101.7,101.67,0.03
164,Tarleton State,WAC,,18,7,72.3,67.5,4.84,-0.46,-2.26,2.07,-0.19,105.53,105.73,-0.2
165,Wright State,Horizon,,15,12,85.6,80.7,4.81,-2.77,10.67,-10.88,-0.21,114.81,115.57,-0.75
166,Vanderbilt,SEC,,7,18,66.3,74.3,-7.96,7.68,-3.08,2.8,-0.28,103.76,104.59,-0.83
167,UNC Asheville,Big South,,19,9,80.6,73.3,7.29,-2.0,1.7,-2.1,-0.4,106.26,106.84,-0.58
168,Purdue Fort Wayne,Horizon,,17,10,81.1,71.1,10.04,-6.37,2.18,-2.79,-0.61,102.98,104.24,-1.26
169,Long Beach State,Big West,,17,9,78.8,75.9,2.96,-1.75,5.03,-5.7,-0.67,104.9,105.98,-1.08
170,Rhode Island,A-10,,11,14,73.8,76.0,-2.12,3.1,2.17,-2.87,-0.69,107.44,108.56,-1.12
171,Utah Valley,WAC,,12,14,69.0,69.0,-0.08,1.14,-4.29,3.56,-0.73,97.87,98.47,-0.6
172,St. Thomas,Summit,,17,10,73.8,65.3,8.48,-5.4,-4.5,3.72,-0.78,105.8,106.05,-0.25
173,Fordham,A-10,,10,15,72.6,74.2,-1.6,0.7,0.51,-1.4,-0.9,100.58,102.04,-1.46
174,Ohio,MAC,,13,12,79.0,72.9,6.08,-3.96,2.69,-3.65,-0.96,108.66,109.98,-1.32
175,UC Santa Barbara,Big West,,14,11,75.6,72.1,3.52,-2.18,-0.4,-0.66,-1.05,105.43,107.05,-1.62
176,Illinois State,MVC,,13,14,66.7,68.0,-1.26,0.95,-6.99,5.9,-1.09,100.96,102.86,-1.9
177,California Baptist,WAC,,14,11,68.4,65.9,2.48,-2.62,-5.4,4.3,-1.1,103.51,104.7,-1.19
178,UC Davis,Big West,,15,11,71.5,67.8,3.65,-2.65,-2.49,1.39,-1.11,100.24,101.89,-1.65
179,George Washington,A-10,,14,11,78.3,78.1,0.16,-0.67,6.54,-7.67,-1.13,103.97,106.0,-2.03
180,South Dakota State,Summit,,15,12,76.7,72.7,4.04,-2.27,1.46,-2.61,-1.15,105.54,106.66,-1.12
181,Massachusetts-Lowell,AEC,,17,7,80.1,68.7,11.38,-6.6,0.66,-1.93,-1.26,103.06,104.76,-1.7
182,Illinois-Chicago,MVC,,10,17,69.0,69.0,0.04,0.66,-3.65,2.39,-1.27,99.04,100.93,-1.89
183,Fresno State,MWC,,11,15,69.1,72.7,-3.62,2.61,-2.18,0.59,-1.59,104.94,107.42,-2.48
184,Saint Louis,A-10,,9,16,74.0,78.3,-4.32,4.11,3.8,-5.69,-1.89,108.53,111.27,-2.74
185,Jacksonville State,CUSA,,12,14,69.9,64.9,5.0,-2.09,-7.44,5.53,-1.92,99.9,102.25,-2.35
186,Lipscomb,A-Sun,,17,11,81.8,76.6,5.18,-4.24,3.87,-5.8,-1.93,110.22,112.81,-2.59
187,Sam Houston,CUSA,,15,11,71.6,70.9,0.73,-0.42,-1.46,-0.54,-2.0,101.2,103.9,-2.7
