Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Pace,ORtg,FTr,3PAr,TS_Pct,TRB_Pct,AST_Pct,STL_Pct,BLK_Pct,eFG_Pct,TOV_Pct,ORB_Pct,FTperFGA
105,Grambling,21,9,12,0.429,-12.27,-2.16,6.0,2.0,6,2,2,8,1386,1501,67.8,97.4,0.346,0.284,0.514,49.2,39.5,11.1,7.0,0.476,17.7,31.1,0.245
106,Grand Canyon,23,21,2,0.913,10.0,-1.14,11.0,1.0,11,0,7,1,1851,1556,70.7,113.2,0.447,0.356,0.576,54.3,45.2,11.9,13.9,0.531,15.6,35.1,0.335
107,Green Bay,24,15,9,0.625,-3.46,-3.91,10.0,3.0,10,1,5,7,1647,1588,63.8,107.0,0.257,0.488,0.57,51.1,51.9,7.6,6.4,0.546,17.0,27.9,0.187
108,Hampton,23,5,18,0.217,-16.96,-5.41,0.0,10.0,3,7,0,9,1728,1794,72.1,104.2,0.304,0.38,0.537,50.4,50.0,8.9,8.7,0.506,15.8,30.8,0.216
109,Harvard,19,11,8,0.579,-3.28,-1.28,2.0,4.0,7,4,4,4,1357,1365,68.2,104.1,0.351,0.39,0.546,48.5,51.1,8.4,11.1,0.517,15.4,25.9,0.239
110,Hawaii,23,12,11,0.522,-0.78,-1.25,4.0,7.0,8,6,2,4,1628,1577,67.5,104.3,0.381,0.434,0.549,51.3,50.7,7.2,6.6,0.516,16.0,27.2,0.265
111,High Point,24,20,4,0.833,2.49,-5.06,9.0,0.0,13,0,5,3,2038,1769,69.4,121.7,0.469,0.408,0.593,57.4,44.5,7.2,8.6,0.541,13.2,37.7,0.367
112,Hofstra,23,13,10,0.565,0.85,-0.83,6.0,4.0,8,2,2,8,1713,1623,67.6,109.6,0.206,0.484,0.573,47.7,56.8,8.6,10.6,0.553,14.3,23.7,0.152
113,Holy Cross,23,7,16,0.304,-17.57,-7.57,4.0,6.0,3,6,3,9,1540,1732,66.1,100.7,0.251,0.373,0.531,47.3,44.5,6.3,9.2,0.513,15.6,24.1,0.162
114,Houston,22,19,3,0.864,26.89,7.25,6.0,3.0,12,0,3,3,1620,1188,64.0,114.3,0.301,0.363,0.523,54.7,49.7,15.6,18.1,0.496,11.1,39.0,0.204
115,Houston Christian,20,5,15,0.25,-16.44,-1.16,3.0,6.0,4,4,1,11,1424,1627,74.1,95.4,0.339,0.261,0.499,50.3,44.0,8.2,7.0,0.472,18.3,31.7,0.213
116,Howard,23,9,14,0.391,-8.71,-5.62,3.0,3.0,5,3,4,8,1725,1745,70.1,104.8,0.391,0.384,0.558,51.2,53.6,9.0,7.3,0.518,18.9,33.1,0.289
117,Idaho,22,8,14,0.364,-10.18,-3.03,2.0,7.0,5,7,2,7,1532,1585,66.6,103.9,0.28,0.41,0.539,48.6,49.4,8.9,10.8,0.511,14.5,24.7,0.199
118,Idaho State,23,9,14,0.391,-8.16,-3.5,4.0,6.0,5,3,4,10,1605,1613,64.9,105.8,0.316,0.361,0.54,51.6,48.7,10.5,9.8,0.512,15.1,31.0,0.217
119,Illinois,21,16,5,0.762,20.1,6.72,7.0,3.0,11,2,3,3,1729,1448,70.4,116.2,0.346,0.386,0.563,56.2,43.9,6.5,9.0,0.53,13.2,36.7,0.252
120,Illinois State,23,11,12,0.478,-2.87,0.09,5.0,7.0,7,5,3,5,1514,1560,66.1,99.6,0.377,0.388,0.506,51.4,52.1,8.8,6.1,0.465,15.2,29.5,0.263
121,Illinois-Chicago,23,8,15,0.348,-1.2,0.34,1.0,11.0,4,7,2,7,1598,1581,68.7,101.1,0.246,0.422,0.542,48.8,56.2,7.7,15.0,0.524,16.5,24.3,0.163
122,Incarnate Word,21,7,14,0.333,-14.11,-6.37,2.0,6.0,4,4,3,9,1543,1640,72.2,101.1,0.358,0.401,0.541,49.6,49.8,8.8,10.5,0.501,18.7,29.1,0.263
123,Indiana,22,13,9,0.591,7.3,8.12,5.0,6.0,11,3,1,4,1616,1634,69.6,105.6,0.406,0.279,0.552,50.0,55.5,7.9,10.9,0.523,15.3,27.8,0.27
124,Indiana State,23,20,3,0.87,14.16,1.89,11.0,1.0,10,0,6,3,1966,1666,71.6,118.7,0.363,0.504,0.638,52.4,59.5,8.8,4.6,0.607,15.3,23.7,0.283
125,Iona,20,10,10,0.5,-1.71,-4.06,5.0,4.0,6,3,3,4,1465,1418,68.7,106.5,0.302,0.387,0.528,48.1,54.2,13.7,10.5,0.505,13.4,30.4,0.198
126,Iowa,22,13,9,0.591,14.2,7.25,5.0,6.0,9,3,2,5,1852,1699,73.5,114.6,0.316,0.303,0.566,49.4,59.3,10.6,9.5,0.528,11.6,28.8,0.245
127,Iowa State,21,16,5,0.762,22.32,4.61,5.0,3.0,13,0,2,3,1677,1305,69.5,114.9,0.407,0.32,0.566,52.6,60.3,16.0,11.1,0.536,13.6,33.6,0.279
128,IUPUI,24,6,18,0.25,-19.19,-3.71,2.0,11.0,4,8,2,8,1585,1872,68.4,96.1,0.333,0.258,0.513,47.9,41.5,11.3,5.7,0.472,18.1,30.7,0.245
129,Jackson State,21,8,13,0.381,-9.92,-2.78,4.0,4.0,2,1,4,11,1484,1634,71.3,99.1,0.336,0.355,0.502,49.3,52.0,10.6,10.8,0.464,16.7,33.5,0.235
130,Jacksonville,23,11,12,0.478,-10.69,-3.34,2.0,7.0,8,1,2,11,1681,1697,70.0,103.9,0.36,0.348,0.539,52.7,43.6,11.2,10.4,0.503,17.5,34.9,0.255
131,Jacksonville State,23,11,12,0.478,-2.31,-2.76,3.0,5.0,6,4,4,8,1622,1487,66.8,105.1,0.347,0.29,0.542,54.3,43.0,10.1,11.5,0.509,17.1,33.7,0.245
