Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,MP,FG,FGA,FG_Pct,3P,3PA,3P_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
197,New Mexico,26,20,6,0.769,16.47,4.75,8.0,5.0,11,2,5,4,2172,1846,1040,792,1689,0.469,179,516,0.347,409,581,0.704,320,1012,392,247,122,272,474
198,New Mexico State,26,11,15,0.423,-7.0,1.91,5.0,6.0,11,1,0,12,1780,1866,1055,629,1484,0.424,164,508,0.323,358,512,0.699,238,897,290,170,78,330,534
199,New Orleans,27,8,19,0.296,-16.76,-4.84,3.0,11.0,7,5,1,13,2021,2174,1086,714,1687,0.423,149,473,0.315,444,623,0.713,310,939,332,209,96,330,515
200,Niagara,25,14,11,0.56,-6.14,-6.14,10.0,5.0,5,7,9,4,1873,1824,1015,663,1390,0.477,159,424,0.375,388,504,0.77,187,779,325,137,55,295,377
201,Nicholls State,26,14,12,0.538,-7.98,-3.46,9.0,4.0,8,2,6,8,1896,1947,1080,639,1476,0.433,202,584,0.346,416,569,0.731,258,932,266,178,119,353,489
202,NJIT,24,7,17,0.292,-13.6,-3.95,3.0,9.0,5,7,2,10,1624,1770,960,561,1423,0.394,172,566,0.304,330,468,0.705,278,837,245,171,85,274,465
203,Norfolk State,26,17,9,0.654,-6.02,-5.66,7.0,2.0,11,0,4,7,1933,1759,1045,663,1472,0.45,160,485,0.33,447,613,0.729,294,920,310,227,78,324,493
204,North Alabama,27,13,14,0.481,-5.98,-3.98,7.0,6.0,10,4,3,10,2075,2048,1106,732,1630,0.449,207,575,0.36,404,534,0.757,271,966,309,146,91,290,508
205,North Carolina,26,20,6,0.769,20.64,9.21,12.0,3.0,11,1,6,2,2154,1857,1045,739,1636,0.452,208,584,0.356,468,621,0.754,321,1068,380,154,108,272,441
206,North Carolina A&T,27,7,20,0.259,-14.97,-3.16,5.0,9.0,4,6,2,11,1785,2104,1080,620,1570,0.395,163,558,0.292,382,539,0.709,246,836,288,156,88,255,417
207,North Carolina Central,24,13,11,0.542,-8.3,-6.35,5.0,4.0,8,2,5,8,1808,1637,970,630,1401,0.45,170,521,0.326,378,546,0.692,253,844,294,193,65,291,432
208,North Dakota,28,17,11,0.607,-6.1,-5.42,9.0,4.0,8,4,7,7,2111,2016,1125,746,1687,0.442,226,702,0.322,393,557,0.706,330,1040,319,175,88,295,431
209,North Dakota State,27,13,14,0.481,-6.51,-2.34,6.0,6.0,8,3,5,10,2064,2014,1115,751,1581,0.475,218,567,0.384,344,480,0.717,237,940,324,125,36,301,410
210,North Florida,28,15,13,0.536,-5.95,-4.11,8.0,5.0,10,4,5,9,2210,2126,1130,753,1699,0.443,340,940,0.362,364,477,0.763,259,953,358,163,98,313,447
211,North Texas,25,14,11,0.56,9.07,4.46,7.0,6.0,10,2,3,5,1686,1528,1010,595,1381,0.431,204,545,0.374,292,403,0.725,295,884,269,177,77,293,420
212,Northeastern,27,10,17,0.37,-5.26,-2.48,5.0,9.0,5,5,4,11,1899,1974,1080,684,1478,0.463,173,534,0.324,358,477,0.751,278,893,364,169,82,346,410
213,Northern Arizona,27,12,15,0.444,-11.5,-3.27,5.0,8.0,6,3,5,11,1827,2049,1080,669,1524,0.439,174,551,0.316,315,466,0.676,208,820,378,160,82,340,495
214,Northern Colorado,26,16,10,0.615,-3.18,-4.14,9.0,4.0,10,2,5,7,2096,2023,1075,766,1584,0.484,211,595,0.355,353,492,0.717,227,924,378,166,65,292,428
215,Northern Illinois,25,9,16,0.36,-9.02,-0.41,3.0,9.0,5,6,3,10,1858,1960,1015,653,1459,0.448,184,551,0.334,368,540,0.681,247,884,257,138,127,315,437
216,Northern Iowa,27,15,12,0.556,3.8,3.18,9.0,7.0,9,3,5,7,1964,1908,1090,686,1493,0.459,202,573,0.353,390,544,0.717,207,903,338,162,64,290,442
217,Northern Kentucky,27,14,13,0.519,-3.04,-2.44,9.0,7.0,10,3,4,10,1983,1946,1095,707,1563,0.452,161,522,0.308,408,580,0.703,295,942,379,243,77,340,443
218,Northwestern,26,18,8,0.692,11.95,7.15,9.0,6.0,13,1,3,6,1934,1809,1060,692,1513,0.457,219,558,0.392,331,450,0.736,225,814,412,191,89,236,477
219,Northwestern State,27,8,19,0.296,-13.71,-4.23,6.0,8.0,6,5,2,12,1888,2054,1080,670,1553,0.431,181,571,0.317,367,553,0.664,293,901,315,181,88,360,501
220,Notre Dame,25,9,16,0.36,3.59,7.03,4.0,10.0,7,8,1,7,1547,1633,1015,549,1378,0.398,180,604,0.298,269,370,0.727,257,912,245,148,65,330,372
221,Oakland,28,18,10,0.643,2.55,-0.84,13.0,4.0,8,2,8,7,2153,2058,1140,765,1684,0.454,245,690,0.355,378,502,0.753,296,998,397,185,65,320,423
222,Ohio,25,13,12,0.52,-0.96,-3.96,7.0,5.0,9,3,2,7,1974,1822,1015,703,1519,0.463,225,616,0.365,343,475,0.722,252,880,355,165,92,242,439
223,Ohio State,26,15,11,0.577,12.54,7.85,5.0,10.0,11,4,0,7,1934,1812,1056,684,1532,0.446,185,546,0.339,381,498,0.765,288,947,359,141,117,262,435
224,Oklahoma,26,18,8,0.692,15.94,6.63,6.0,7.0,13,3,2,4,1974,1732,1040,685,1464,0.468,193,562,0.343,411,553,0.743,252,940,359,161,86,322,416
225,Oklahoma State,25,11,14,0.44,7.11,6.67,3.0,9.0,10,5,0,7,1783,1772,1010,617,1407,0.439,217,627,0.346,332,489,0.679,233,865,345,157,70,323,392
226,Old Dominion,27,6,21,0.222,-7.04,-0.88,2.0,12.0,4,9,1,10,1904,2050,1085,711,1679,0.423,182,576,0.316,300,453,0.662,268,958,280,213,102,301,489
227,Omaha,28,13,15,0.464,-5.8,-4.38,6.0,7.0,10,3,2,11,2115,2045,1130,730,1596,0.457,181,537,0.337,474,632,0.75,239,941,286,178,64,277,472
228,Oral Roberts,26,11,15,0.423,-6.15,-1.15,5.0,8.0,9,4,2,11,1935,1974,1050,690,1557,0.443,238,646,0.368,317,428,0.741,198,866,289,150,101,253,444
229,Oregon,25,17,8,0.68,11.85,7.49,9.0,5.0,11,2,5,3,1907,1798,1005,678,1488,0.456,198,556,0.356,353,501,0.705,257,868,350,181,91,265,422
230,Oregon State,26,11,15,0.423,2.77,8.21,3.0,12.0,11,5,0,7,1769,1869,1070,616,1410,0.437,152,479,0.317,385,532,0.724,226,854,295,163,93,330,483
