,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
189,190,Mount St. Mary's,15,4,11,0.267,-19.32,-7.72,1.0,5.0,2,4,2,7,739,913,67.4,72.5,0.202,0.42,0.413,42.9,55.7,10.8,6.9,0.382,20.7,19.4,0.141
190,191,Murray State,14,12,2,0.857,10.07,-5.62,5.0,0.0,7,0,5,2,1292,1030,81.7,112.9,0.316,0.385,0.564,53.5,53.3,12.6,5.6,0.527,14.8,34.2,0.243
191,192,Navy,16,5,11,0.313,-21.91,-7.62,1.0,4.0,5,4,0,7,999,1103,73.2,84.7,0.217,0.321,0.447,48.6,50.8,12.4,7.7,0.423,18.5,28.6,0.14
192,193,NC State,17,15,2,0.882,30.92,12.33,3.0,2.0,9,0,3,2,1330,1014,73.5,105.6,0.329,0.313,0.535,56.1,53.3,8.7,12.3,0.495,15.5,33.1,0.247
193,194,Nebraska,18,13,5,0.722,22.81,8.7,5.0,2.0,9,2,3,2,1344,1090,69.7,107.2,0.312,0.408,0.537,57.2,64.3,9.6,5.8,0.502,17.0,38.6,0.23
194,195,Nevada,18,9,9,0.5,-3.52,-3.4,3.0,2.0,4,4,3,3,1171,1138,72.0,89.0,0.231,0.285,0.451,47.8,46.7,16.4,8.7,0.421,17.0,32.6,0.159
195,196,Nevada-Las Vegas,16,15,1,0.938,18.87,-1.07,5.0,0.0,6,0,8,1,1309,990,72.7,112.5,0.254,0.346,0.547,55.3,53.8,9.8,5.8,0.511,12.6,34.0,0.205
196,197,New Hampshire,18,7,11,0.389,-13.18,-7.77,1.0,4.0,5,4,1,7,990,1048,67.1,82.0,0.196,0.303,0.441,50.7,51.5,14.5,7.1,0.411,21.8,34.5,0.142
197,198,New Mexico,18,12,6,0.667,-3.0,-5.29,3.0,2.0,10,2,2,2,1154,1091,71.1,89.5,0.247,0.378,0.462,52.0,53.3,10.4,8.5,0.432,17.1,29.2,0.169
198,199,New Mexico State,16,7,9,0.438,-1.39,-3.52,1.0,2.0,3,3,2,5,991,924,69.4,88.6,0.283,0.248,0.481,50.8,52.3,11.8,3.0,0.449,20.8,33.8,0.194
199,200,New Orleans,16,6,10,0.375,-11.55,-2.36,3.0,2.0,3,3,3,7,934,1081,74.7,78.1,0.324,0.232,0.411,46.4,47.5,12.2,6.7,0.357,18.8,28.6,0.235
200,201,Niagara,17,6,11,0.353,-13.52,-1.17,3.0,4.0,4,3,2,6,1071,1281,80.0,78.8,0.255,0.29,0.425,44.7,52.0,16.7,4.7,0.395,22.0,33.7,0.164
