,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
223,224,Ohio State,17,14,3,0.824,31.72,12.35,5.0,1.0,9,1,3,1,1386,1052,75.0,81.9,0.295,0.315,0.481,49.6,48.7,8.2,5.2,0.441,24.9,30.0,0.214
224,225,Oklahoma,16,10,6,0.625,17.22,7.84,4.0,1.0,7,2,3,1,1237,1087,80.0,84.9,0.272,0.291,0.453,46.6,42.6,10.2,7.4,0.418,19.8,30.4,0.188
225,226,Oklahoma State,17,11,6,0.647,18.32,9.14,4.0,2.0,8,1,3,2,1259,1103,72.2,89.8,0.285,0.362,0.5,49.2,52.0,9.4,7.1,0.465,20.1,26.5,0.206
226,227,Old Dominion,16,12,4,0.75,2.16,-1.58,4.0,2.0,7,2,5,2,979,901,71.7,78.6,0.368,0.336,0.46,48.7,53.3,12.2,11.0,0.412,25.5,29.2,0.255
227,228,Omaha,18,4,14,0.222,-17.0,-0.94,0.0,5.0,3,6,1,8,1315,1520,75.8,109.9,0.29,0.385,0.584,56.1,56.7,8.7,8.1,0.563,18.8,34.8,0.205
228,229,Oral Roberts,18,13,5,0.722,1.03,3.39,4.0,1.0,9,0,4,5,1446,1313,79.5,91.1,0.274,0.336,0.508,49.9,56.9,7.9,9.1,0.479,21.8,30.9,0.19
229,230,Oregon,18,11,7,0.611,9.85,8.63,2.0,3.0,8,1,2,6,1155,1133,68.9,91.4,0.138,0.348,0.448,47.3,64.1,10.6,7.3,0.431,13.6,29.2,0.091
230,231,Oregon State,16,14,2,0.875,25.53,6.66,3.0,2.0,12,0,0,2,1219,917,69.3,81.4,0.182,0.273,0.404,40.9,42.1,10.7,8.2,0.371,11.5,22.6,0.137
231,232,Pacific,18,11,7,0.611,2.12,1.18,3.0,2.0,7,3,3,4,1317,1238,75.8,90.8,0.269,0.316,0.488,47.8,59.1,10.4,6.3,0.456,18.5,28.7,0.19
232,233,Penn State,17,12,5,0.706,24.92,6.27,3.0,3.0,9,1,2,3,1482,1165,78.9,86.2,0.325,0.296,0.498,47.5,54.1,10.7,6.6,0.455,23.4,27.8,0.241
233,234,Pennsylvania,16,10,6,0.625,-3.29,-0.65,2.0,1.0,5,1,5,5,1083,1019,70.3,90.7,0.225,0.312,0.482,48.0,60.4,10.2,8.3,0.449,18.4,29.3,0.167
234,235,Pepperdine,17,5,12,0.294,-13.65,-0.19,1.0,3.0,3,6,2,6,963,1120,70.1,94.0,0.272,0.333,0.476,49.4,53.2,15.8,5.2,0.442,16.5,34.0,0.191
235,236,Pittsburgh,18,6,12,0.333,0.63,3.41,0.0,5.0,5,5,0,4,1175,1225,70.2,95.6,0.238,0.38,0.505,46.8,63.9,12.6,7.2,0.474,17.8,29.5,0.176
